no.#title#written_by#original_release_date
1#"FreeCommerce"#Teleplay by : Paul Weitz & Chris Weitz#May 16, 2025
2#"Eye Contact"#Chris Weitz & Paul Weitz#May 16, 2025
3#"Risk Assessment"#Paul Weitz & Chris Weitz#May 23, 2025
4#<NA>#Chris Weitz & Paul Weitz#May 30, 2025
5#<NA>#Paul Weitz & Chris Weitz#June 6, 2025
6#<NA>#Chris Weitz & Paul Weitz#June 13, 2025
7#<NA>#Paul Weitz & Chris Weitz#June 20, 2025
8#<NA>#Chris Weitz & Paul Weitz#June 27, 2025
9#<NA>#Paul Weitz & Chris Weitz#July 4, 2025
10#<NA>#<NA>#July 11, 2025
