rank#bib#athlete#country#time#deficit
1#8#Johannes Høsflot Klæbo#Norway#2:36.32#<NA>
2#4#Edvin Anger#Sweden#2:37.42#+1.10
3#6#Valerio Grond#Switzerland#2:38.28#+1.96
4#2#Federico Pellegrino#Italy#2:38.29#+1.97
5#10#Ben Ogden#United States#2:39.31#+2.99
6#20#Lucas Chanavat#France#2:39.85#+3.53
7#25#Jan Stölben#Germany#2:40.37#+4.05
8#19#Jules Chappaz#France#2:41.24#+4.92
9#12#Lauri Vuorinen#Finland#2:41.32#+5.00
10#30#Ansgar Evensen#Norway#2:41.35#+5.03
11#3#Rémi Bourdin#France#2:41.37#+5.05
12#7#Emil Liekari#Finland#2:41.65#+5.33
13#27#Håvard Solås Taugbøl#Norway#2:41.75#+5.43
14#5#Matz William Jenssen#Germany#2:41.75#+5.43
15#22#Janik Riebli#Switzerland#2:42.27#+5.95
16#18#Even Northug#Norway#2:42.57#+6.25
17#13#Gus Schumacher#United States#2:43.11#+6.79
18#34#Wang Qiang#China#2:43.26#+6.94
19#15#Jack Young#United States#2:43.99#+7.67
20#35#Michal Novák#Czech Republic#2:44.02#+7.70
21#14#Emil Danielsson#Sweden#2:44.24#+7.92
22#26#JC Schoonmaker#United States#2:44.27#+7.95
23#16#Benjamin Moser#Austria#2:44.74#+8.42
24#43#Jiří Tuž#Czech Republic#2:44.81#+8.49
25#24#Richard Jouve#France#2:45.08#+8.76
26#11#Oskar Svensson#Sweden#2:45.40#+9.08
27#9#James Clugnet#United Kingdom#2:45.76#+9.44
28#47#Noé Näff#Switzerland#2:45.78#+9.46
29#17#Jaume Pueyo#Spain#2:45.88#+9.56
30#29#Ondřej Černý#Czech Republic#2:45.92#+9.60
31#48#Maciej Starega#Poland#2:45.96#+9.64
32#42#Elias Keck#Germany#2:45.97#+9.65
33#55#Lars Young Vik#Australia#2:46.13#+9.81
34#28#Niilo Moilanen#Finland#2:46.21#+9.89
35#31#Davide Graz#Italy#2:46.43#+10.11
36#39#Pierre Grall-Johnson#Canada#2:46.45#+10.13
37#23#Joni Mäki#Finland#2:46.80#+10.48
37#21#Marcus Grate#Sweden#2:46.80#+10.48
39#36#Miha Šimenc#Slovenia#2:47.09#+10.77
40#46#Roman Alder#Switzerland#2:47.30#+10.98
41#1#Marius Kastner#Germany#2:47.39#+11.07
42#38#Giovanni Ticco#Italy#2:47.69#+11.37
43#33#Nejc Štern#Slovenia#2:47.84#+11.52
44#40#Martino Carollo#Italy#2:48.17#+11.85
45#37#Michael Föttinger#Austria#2:48.78#+12.46
46#32#Ludek Seller#Czech Republic#2:48.92#+12.60
47#57#Raimo Vīgants#Latvia#2:49.52#+13.20
48#89#Graham Ritchie#Canada#2:49.86#+13.54
49#61#Dominik Bury#Poland#2:50.30#+13.98
50#41#Lauris Kaparkalējs#Latvia#2:50.42#+14.10
