name#parliamentary_group.1#assumed_office#left_office
Jozias van Aartsen#VVD#19 May 1998#3 August 1998[a]
Karin Adelmund#PvdA#19 May 1998#3 August 1998[a]
Hans van den Akker#CDA#19 May 1998#22 May 2002
Nebahat Albayrak#PvdA#19 May 1998#22 May 2002
Thanasis Apostolou#PvdA#25 August 1998#22 May 2002
Agnes van Ardenne#CDA#19 May 1998#22 May 2002
Khadija Arib#PvdA#19 May 1998#22 May 2002
Joop Atsma#CDA#19 May 1998#22 May 2002
Marijke Augusteijn-Esser#D66#25 August 1998#22 May 2002
Hans van Baalen#VVD#28 September 1999#22 May 2002
Bert Bakker#D66#19 May 1998#22 May 2002
Eric Balemans#VVD#25 August 1998#22 May 2002
Jan Peter Balkenende#CDA#19 May 1998#22 May 2002
Marleen Barth#PvdA#19 May 1998#22 May 2002
Willibrord van Beek#VVD#19 May 1998#22 May 2002
Judith Belinfante#PvdA#19 May 1998#22 May 2002
Koos van den Berg#SGP#19 May 1998#22 May 2002
Pieter Jan Biesheuvel#CDA#19 May 1998#22 May 2002
Ank Bijleveld#CDA#19 May 1998#16 January 2001[b]
Jan Dirk Blaauw#VVD#19 May 1998#22 May 2002
Anke van Blerck-Woerdman#VVD#19 May 1998#22 May 2002
Stef Blok#VVD#25 August 1998#22 May 2002
Margreeth de Boer#PvdA#19 May 1998#6 November 2001[c]
Eppo Bolhuis#PvdA#16 January 2001#22 May 2002
Frits Bolkestein#VVD#19 May 1998#21 September 1999[d]
Harry van Bommel#SP#19 May 1998#22 May 2002
Els Borst#D66#19 May 1998#3 August 1998[a]
Wouter Bos#PvdA#19 May 1998#24 March 2000[a]
Roger van Boxtel#D66#19 May 1998#3 August 1998[a]
Philippe Brood#VVD#25 August 1998#13 April 2000[e]
Siem Buijs#CDA#19 May 1998#22 May 2002
Jet Bussemaker#PvdA#19 May 1998#22 May 2002
Wim van de Camp#CDA#19 May 1998#22 May 2002
Oussama Cherribi#VVD#25 August 1998#22 May 2002
Dick de Cloe#PvdA#19 May 1998#22 May 2002
Clemens Cornielje#VVD#19 May 1998#22 May 2002
Coşkun Çörüz#CDA#29 May 2001#22 May 2002
Ferd Crone#PvdA#19 May 1998#22 May 2002
Nancy Dankers#CDA#19 May 1998#22 May 2002
Staf Depla#PvdA#4 October 2000#22 May 2002
Leen van Dijke#RPF[f]#19 May 1998#22 May 2002
Leen van Dijke#CU[g]#19 May 1998#22 May 2002
Sharon Dijksma#PvdA#19 May 1998#22 May 2002
Hans Dijkstal#VVD#19 May 1998#22 May 2002
Jeroen Dijsselbloem#PvdA#28 March 2000#22 May 2002
Boris Dittrich#D66#19 May 1998#22 May 2002
Theo van den Doel#VVD#19 May 1998#22 May 2002
Anneke van Dok-van Weele#PvdA#26 May 1998#31 May 1999[h]
Desirée Duijkers#PvdA#19 May 1998#22 May 2002
Adri Duivesteijn#PvdA#19 May 1998#22 May 2002
