name#technique#dimensions#year
Bust of a Woman#Paper, Italian pencil#47.5 × 38#1830
Portrait of Pavlo Engelhardt#Bristol board, Watercolor#10.3 × 8.4#1833
Head of a Woman#Paper, Watercolor#11.6 × 9.1#1834
Death of Lucretia#Paper, Ink, Pen#34.3 × 50.3#1835
Death of Oleg, Prince of the Drevlians#Paper, Ink, Pen, Brush#27.5 × 38.9#1836
Alexander the Great Demonstrates Trust in His Physician Philip#Paper, Watercolor, Ink, Pen#26 × 35.7#1836
Death of Virginia#Paper, Watercolor, Ink, Pen#25.1 × 35.7#1836
Death of Bohdan Khmelnytsky#Paper, Ink, Brush, Pen#30.8 × 45.1#1836–1837
Death of Socrates#Paper, Ink, Brush, Pen#24.5 × 32.3#1837
Portrait of Kateryna Abaza#Bristol board, Watercolor#22.5 × 18.1#1837
Portrait of Yevhen Hrebinka#Bristol board, Watercolor#21.3 × 18.8#1837
Portrait of an Unknown Person#Bristol board, Watercolor#23.7 × 17.6#1837–1838
Portrait of a Girl with a Dog#Bristol board, Watercolor#24.6 × 19.4#1838
Portrait of Mykola Lunin#Bristol board, Watercolor#24.6 × 19.5#1838
Cossack Feast#Paper, Pencil#23.3 × 34#December 25, 1838
Head of the Mother#Oil#68 × 58#1838–1840
Portrait of Anton Ivanovych Lahoda#Paper, Watercolor#25.2 × 19.5#1839
Portrait of Ivan Krylov#Paper, Watercolor#24.6 × 19.5#1839–April 1841
Portrait of Vasily Zhukovsky#Paper, Watercolor#27.3 × 21#1839–1844
Interrupted Meeting#Paper, Watercolor#23 × 18.5#1839–1840
Dream of Grandmother and Granddaughter#Paper, Watercolor#21.9 × 27.6#1839–1840
Woman in Bed#Paper, Watercolor#23.1 × 19.1#1839–1840
Portrait of a Junker#Bristol board, Watercolor#16.9 × 14#1840
Model#Paper, Watercolor, Bronze#16.3 × 20.5#1840
Mary#Paper, Watercolor, Bronze#24.7 × 20.1#1840
Portrait of an Unknown Woman with a Necklace#Paper, Watercolor#21.5 × 17.7#1840
Boy with a Dog in the Forest#Paper, Sepia#23.1 × 18.3#1840
Corner of the Smolensky Cemetery in Saint Petersburg#Pencil, Sepia#17.8 × 26.5#Summer 1840
Model.#Cardboard, Oil#57 × 70.5#April 1840 – January 1842
Models.#Toned Paper, Charcoal, Chalk#76 × 57#June 1840 – January 1841
Self-Portrait.#Canvas (Oval), Oil#43 × 35#Winter 1840–1841
Model in the Pose of St. Sebastian.#Canvas, Oil#72 × 54.2#Winter 1840–1841
Portraits of Unknown People.#Paper, Pencil#27.8 × 37.7#1840–1843
Catholic Monk.#Steel engraving#<NA>#April 30, 1841
Gypsy Fortune-Teller.#Paper, Watercolor#26.5 × 20.7#September 1841
The Healer. Illustration for the work of the same name by Hryhorii Kvitka-Osnovianenko#Paper, Pencil, Ink, Pen, Brush#21.4 × 15.9#October 10, 1841
The Healer. Illustration for the work of the same name by Hryhorii Kvitka-Osnovianenko#Woodcut#<NA>#October 10, 1841
