unnamed:_0#nom#parti_politique#voix#%
<NA>#Rob Morrison (sortant)#Conservateur#36 081#50,43 %
<NA>#Reggie Goldsbury#Libéral#20 184#28,21 %
<NA>#Kallee Lins#NPD#12 871#17,99 %
<NA>#Steven Maffioli#Vert#1 064#1,49 %
<NA>#James Wiedrick#Indépendant#856#1,2 %
<NA>#Laurie Baird#Parti populaire#486#0,68 %
Total des votes valides#Total des votes valides#Total des votes valides#71 542#99,56 %
Total des votes rejetés#Total des votes rejetés#Total des votes rejetés#317#0,44 %
Total des votes exprimés#Total des votes exprimés#Total des votes exprimés#71 859#73,82 %
Électeurs inscrits#Électeurs inscrits#Électeurs inscrits#97 344#<NA>
