unnamed:_0#nom#parti_politique#voix#%
<NA>#Maxime Blanchette-Joncas (sortant)#Bloc québécois#24 947#46,16 %
<NA>#Alexander Reford (en)#Libéral#19 201#35,53 %
<NA>#Nancy Joannette#Conservateur#7 324#13,55 %
<NA>#Salomé Salvain#NPD#974#1,8 %
<NA>#Noémi Bureau-Civil#Indépendant#620#1,15 %
<NA>#Taraneh Javanbakht#Parti populaire#338#0,63 %
<NA>#Lysane Picker-Paquin#Parti Rhinocéros#295#0,55 %
<NA>#Raphaël Arsenault#Indépendant#242#0,45 %
<NA>#Tommy Lefebvre#Indépendant#99#0,18 %
Total des votes valides#Total des votes valides#Total des votes valides#54 040#98,68 %
Total des votes rejetés#Total des votes rejetés#Total des votes rejetés#724#1,32 %
Total des votes exprimés#Total des votes exprimés#Total des votes exprimés#54 764#65,09 %
Électeurs inscrits#Électeurs inscrits#Électeurs inscrits#84 140#<NA>
