pos.#pilotes#tou#cha#ant#vos#rou#points
1#Yoann Bonato#2#1#1#1#2#105
2#Éric Camilli#3#2#Ab.#2#1#74
3#Hugo Margaillan#6#4#4#3#3#65
4#Réhane Gany#4#Ab.#2#9#5#47
5#Raphaël Astier#7#Ab.#3#4#6#44
6#Lucas Darmezin#9#10#5#7#7#34
7#Pablo Sarrazin#5#3#<NA>#<NA>#<NA>#26
8#Stéphane Lefebvre#1#<NA>#<NA>#<NA>#<NA>#23
9#Cédric Robert#12#16#7#8#8#25
10#Quentin Gilbert#<NA>#9#<NA>#5#Ab.#16
Sources[27],[28],#Sources[27],[28],#Sources[27],[28],#Sources[27],[28],#Sources[27],[28],#Sources[27],[28],#Sources[27],[28],#Sources[27],[28],
