unnamed:_0#nom#parti_politique#voix#%
<NA>#Tim Watchorn#Libéral#26 967#41,04 %
<NA>#Ariane Charbonneau#Bloc québécois#23 750#36,15 %
<NA>#Vincent Leroux#Conservateur#11 816#17,98 %
<NA>#Eric-Abel Baland#NPD#1 493#2,27 %
<NA>#Karine Steinberger#Vert#1 038#1,58 %
<NA>#George Mogiljansky#Parti populaire#639#0,97 %
Total des votes valides#Total des votes valides#Total des votes valides#65 703#98,73 %
Total des votes rejetés#Total des votes rejetés#Total des votes rejetés#848#1,27 %
Total des votes exprimés#Total des votes exprimés#Total des votes exprimés#66 551#69,76 %
Électeurs inscrits#Électeurs inscrits#Électeurs inscrits#95 406#<NA>
