rang#joueur#points_totaux#résultat#résultat.1
1#Judd Trump#993 200#Finale#éliminé par Kyren Wilson
2#Kyren Wilson#541 800#Vainqueur#face à Judd Trump
3#Neil Robertson#407 050#Demi-finales#éliminé par Kyren Wilson
4#John Higgins#333 750#Demi-finales#éliminé par Judd Trump
5#Xiao Guodong#306 500#Quarts de finale#éliminé par John Higgins
6#Mark Selby#285 000#Quarts de finale#éliminé par Neil Robertson
7#Mark Williams#265 600#Quarts de finale#éliminé par Kyren Wilson
8#Barry Hawkins#261 550#8es de finale#éliminé par Shaun Murphy
9#Shaun Murphy#257 900#Quarts de finale#éliminé par Judd Trump
10#Ding Junhui#235 000#8es de finale#éliminé par Mark Williams
11#Si Jiahui#219 200#8es de finale#éliminé par Mark Selby
12#Wu Yize#205 600#8es de finale#éliminé par Xiao Guodong
13#Chris Wakelin#194 400#8es de finale#éliminé par John Higgins
14#Stuart Bingham#169 400#8es de finale#éliminé par Neil Robertson
15#Mark Allen#163 400#8es de finale#éliminé par Kyren Wilson
16#Lei Peifan#161 000#8es de finale#éliminé par Judd Trump
