unnamed:_0#nom#parti_politique#voix#%
<NA>#Bernard Généreux#Conservateur#28 873#45,84 %
<NA>#Rémi Massé#Libéral#19 097#30,32 %
<NA>#Diane Sénécal#Bloc québécois#12 598#20 %
<NA>#Iseult L'Heureux Hubert#NPD#1 072#1,7 %
<NA>#Alexie Plourde#Vert#682#1,08 %
<NA>#Jean-François Morin#Parti populaire#464#0,74 %
<NA>#Thibaud Mony#Parti Rhinocéros#206#0,33 %
Total des votes valides#Total des votes valides#Total des votes valides#62 992#98,49 %
Total des votes rejetés#Total des votes rejetés#Total des votes rejetés#967#1,51 %
Total des votes exprimés#Total des votes exprimés#Total des votes exprimés#63 959#66,8 %
Électeurs inscrits#Électeurs inscrits#Électeurs inscrits#95 745#<NA>
