épreuves#or#argent#bronze
Moins de 48 kg poids super-légers#Natasha Ferreira#Maria Celia Laborde#Mary Dee Vargas
Moins de 48 kg poids super-légers#Natasha Ferreira#Maria Celia Laborde#Laura Vasquez
Moins de 52 kg poids mi-légers#Evelyn Beaton#Jéssica Pereira#Keisy Perafán
Moins de 52 kg poids mi-légers#Evelyn Beaton#Jéssica Pereira#Agustina Lahiton
Moins de 57 kg poids légers#Shirlen Nascimento#Mariah Holguin#Tinka Easton
Moins de 57 kg poids légers#Shirlen Nascimento#Mariah Holguin#Bianca Reis
Moins de 63 kg poids mi-moyens#Nauana Silva#Catherine Beauchemin-Pinard#Maylín del Toro
Moins de 63 kg poids mi-moyens#Nauana Silva#Catherine Beauchemin-Pinard#Rafaela Silva
Moins de 70 kg poids moyens#Aoife Coughlan#Celinda Corozo#Luana Carvalho
Moins de 70 kg poids moyens#Aoife Coughlan#Celinda Corozo#Eliana Aguiar
Moins de 78 kg poids mi-lourds#Brenda Olaya#Coralie Godbout#Lianet Cardona
Moins de 78 kg poids mi-lourds#Brenda Olaya#Coralie Godbout#Maria Swan
Plus de 78 kg poids lourds#Beatriz Souza#Sydnee Andrews#Naomis Elizarde
Plus de 78 kg poids lourds#Beatriz Souza#Sydnee Andrews#Brigitte Carabalí
