date#ville#pays#lieu#affluence#revenu_brut
AMERIQUE DU NORD#AMERIQUE DU NORD#AMERIQUE DU NORD#AMERIQUE DU NORD#AMERIQUE DU NORD#AMERIQUE DU NORD
28 avril 2025#Inglewood#États-Unis#SoFi Stadium#217,143 / 217,143#$55,706,053
1er mai 2025#Inglewood#États-Unis#SoFi Stadium#217,143 / 217,143#$55,706,053
4 mai 2025#Inglewood#États-Unis#SoFi Stadium#217,143 / 217,143#$55,706,053
7 mai 2025#Inglewood#États-Unis#SoFi Stadium#217,143 / 217,143#$55,706,053
9 mai 2025#Inglewood#États-Unis#SoFi Stadium#217,143 / 217,143#$55,706,053
15 mai 2025#Chicago#États-Unis#Soldier Field#143,256 / 143,256#$42,526,825
17 mai 2025#Chicago#États-Unis#Soldier Field#143,256 / 143,256#$42,526,825
18 mai 2025#Chicago#États-Unis#Soldier Field#143,256 / 143,256#$42,526,825
22 mai 2025#East Rutherford#États-Unis#MetLife Stadium#250,085 / 250,085#$70,284,615
24 mai 2025#East Rutherford#États-Unis#MetLife Stadium#250,085 / 250,085#$70,284,615
25 mai 2025#East Rutherford#États-Unis#MetLife Stadium#250,085 / 250,085#$70,284,615
28 mai 2025#East Rutherford#États-Unis#MetLife Stadium#250,085 / 250,085#$70,284,615
29 mai 2025#East Rutherford#États-Unis#MetLife Stadium#250,085 / 250,085#$70,284,615
TOTAL#TOTAL#TOTAL#TOTAL#610,484 / 610,484#$168,517,493
EUROPE#EUROPE#EUROPE#EUROPE#EUROPE#EUROPE
5 juin 2025#Londres#Royaume-Uni#Tottenham Hotspur Stadium#275,399 / 275,399#$61,285,415
7 juin 2025#Londres#Royaume-Uni#Tottenham Hotspur Stadium#275,399 / 275,399#$61,285,415
10 juin 2025#Londres#Royaume-Uni#Tottenham Hotspur Stadium#275,399 / 275,399#$61,285,415
12 juin 2025#Londres#Royaume-Uni#Tottenham Hotspur Stadium#275,399 / 275,399#$61,285,415
14 juin 2025#Londres#Royaume-Uni#Tottenham Hotspur Stadium#275,399 / 275,399#$61,285,415
16 juin 2025#Londres#Royaume-Uni#Tottenham Hotspur Stadium#275,399 / 275,399#$61,285,415
19 juin 2025#Paris#France#Stade de France#215,025 / 215,025#$39,715,117
21 juin 2025#Paris#France#Stade de France#215,025 / 215,025#$39,715,117
22 juin 2025#Paris#France#Stade de France#215,025 / 215,025#$39,715,117
TOTAL#TOTAL#TOTAL#TOTAL#490,424 / 490,424#$101,000,532
AMERIQUE DU NORD#AMERIQUE DU NORD#AMERIQUE DU NORD#AMERIQUE DU NORD#AMERIQUE DU NORD#AMERIQUE DU NORD
28 juin 2025#Houston#États-Unis#NRG Stadium#103,353 / 103,353#$35,492,477
29 juin 2025#Houston#États-Unis#NRG Stadium#103,353 / 103,353#$35,492,477
4 juillet 2025#Washington D.C.#États-Unis#Northwest Stadium#93,728 / 93,728#$27,426,395
7 juillet 2025#Washington D.C.#États-Unis#Northwest Stadium#93,728 / 93,728#$27,426,395
10 juillet 2025#Atlanta#États-Unis#Mercedes-Benz Stadium#205,909/ 205,909#$55,424,228
11 juillet 2025#Atlanta#États-Unis#Mercedes-Benz Stadium#205,909/ 205,909#$55,424,228
