fonction#titulaire.2#parti
Premier ministre#Bart De Wever#N-VA
Vice-Premier ministre Ministre de l'Emploi, de l’Économie et de l'Agriculture#David Clarinval#MR
Vice-Premier ministre Ministre des Affaires étrangères, des Affaires européennes et de la Coopération au développement#Maxime Prévot#Les Engagés
Vice-Premier ministre Ministre des Affaires sociales et de la Santé publique, chargé de la Lutte contre la pauvreté#Frank Vandenbroucke#Vooruit
Vice-Premier ministre Ministre du Budget, chargé de la Simplification administrative#Vincent Van Peteghem#CD&V
Vice-Premier ministre Ministre des Finances et des Pensions, chargé de la Loterie nationale et des Institutions culturelles fédérales#Jan Jambon#N-VA
Ministre de la Justice, chargée de la Mer du Nord#Annelies Verlinden#CD&V
Ministre de la Sécurité et de l'Intérieur, chargé de Beliris#Bernard Quintin#MR
Ministre de la Défense, chargé du Commerce extérieur#Theo Francken#N-VA
Ministre de la Mobilité, du Climat et de la Transition environnementale, chargé du Développement durable#Jean-Luc Crucke#Les Engagés
None#Vanessa Matz#Les Engagés
Ministre de la Protection des consommateurs, de la Lutte contre la Fraude sociale, des Personnes handicapées et de l'Égalité des chances#Rob Beenders#Vooruit
Ministre de l'Asile et de la Migration, et de l'Intégration sociale, chargée de la Politique des Grandes villes#Anneleen Van Bossuyt#N-VA
Ministre de l'Énergie#Mathieu Bihet#MR
Ministre des Classes moyennes, des Indépendants et des PME#Éléonore Simonet#MR
