rang_(2000)#ville#recens._1989#recens._2000#recens._2010#(avant_2009)_rajons_et_7_villes_républicaines(*)#(depuis_2009)_municipalités_et_9_villes_républicaines(*)#(depuis_2021)_municipalités_et_7_villes_capitales(*)#fondation#accès_au_statut
1.0#Riga#910 445#764 329#705 703#Riga(*)#Riga(*)#Riga(*)#1201#1225
2.0#Daugavpils#124 910#115 265#103 053#Daugavpils(*)#Daugavpils(*)#Daugavpils(*)#1275#1582
3.0#Liepāja#114 486#89 448#83 884#Liepāja(*)#Liepāja(*)#Liepāja(*)#1253#1625
4.0#Jelgava#74 105#63 562#64 748#Jelgava (*)#Jelgava(*)#Jelgava(*)#1225#1573
5.0#Jūrmala#60 600#55 718#56 147#Jūrmala(*)#Jūrmala(*)#Jūrmala(*)#1959#1959
6.0#Ventspils#50 646#43 928#42 657#Ventspils(*)#Ventspils(*)#Ventspils(*)#1290#1378
7.0#Rēzekne#42 477#39 233#34 912#Rēzekne (*)#Rēzekne(*)#Rēzekne(*)#1285#1773
8.0#Jēkabpils#30 865#27 871#26 378#Jēkabpils rajons#Jēkabpils(*)#Jēkabpils novads#1237#1670
9.0#Valmiera#29 190#27 752#27 217#Valmieras rajons#Valmiera(*)#Valmieras novads#1283#1323
10.0#Ogre#26 656#26 573#26 167#Ogres rajons#Ogres novads#Ogres novads#1206#1928
11.0#Tukums#21 439#18 886#19 961#Tukuma rajons#Tukuma novads#Tukuma novads#1253#1795
12.0#Cēsis#21 123#18 732#18 021#Cēsu rajons#Cēsu novads#Cēsu novads#1206#1323
13.0#Salaspils#18 111#18 121#18 159#Rīgas rajons#Salaspils novads#Salaspils novads#1186#1993
14.0#Kuldīga#14 225#13 678#12 755#Kuldigas rajons#Kuldīgas novads#Kuldīgas novads#1242#1378
15.0#Olaine#14 989#12 952#12 667#Rīgas rajons#Olaines novads#Olaines novads#1939#1967
16.0#Saldus#12 330#12 581#12 306#Saldus rajons#Saldus novads#Saldus novads#1253#1917
17.0#Talsi#13 031#12 374#11 201#Talsu rajons#Talsu novads#Talsu novads#1231#1917
18.0#Dobele#15 023#11 553#11 152#Dobeles rajons#Dobeles novads#Dobeles novads#1254#1917
19.0#Krāslava#12 434#11 412#10 160#Krāslavas rajons#Krāslavas novads#Krāslavas novads#n.d.#1923
20.0#Bauska#11 684#10 840#10 060#Bauskas rajons#Bauskas novads#Bauskas novads#1443#1609
21.0#Ludza#11 853#10 822#9 575#Ludzas rajons#Ludzas novads#Ludzas novads#1177#1777
22.0#Sigulda#11 074#10 727#11 168#Rīgas rajons#Siguldas novads#Siguldas novads#1207#1928
23.0#Līvāni#12 263#10 368#8 934#Preiļu rajons#Līvānu novads#Līvānu novads#1533#1926
24.0#Gulbene#10 346#9 629#8 807#Gulbenes rajons#Gulbenes novads#Gulbenes novads#1224#1928
25.0#Madona#9 975#9 553#8 734#Madonas rajons#Madonas novads#Madonas novads#1461#1926
26.0#Alūksne#10 913#9 482#8 900#Aluksnes rajons#Alūksnes novads#Alūksnes novads#1284#1920
27.0#Limbaži#9 985#9 237#8 501#Limbažu rajons#Limbažu novads#Limbažu novads#1223#1385
