unnamed:_0#nom#parti_politique#voix#%
<NA>#Bienvenu-Olivier Ntumba#Libéral#32 149#47,1 %
<NA>#Noémie Rouillard#Bloc québécois#23 947#35,09 %
<NA>#Nicolas Godin#Conservateur#9 335#13,68 %
<NA>#Mirabelle Leins#NPD#1 590#2,33 %
<NA>#Maria Korpijaakko#Vert#833#1,22 %
<NA>#Patrick Rochon#Parti populaire#397#0,58 %
Total des votes valides#Total des votes valides#Total des votes valides#68 251#98,74 %
Total des votes rejetés#Total des votes rejetés#Total des votes rejetés#871#1,26 %
Total des votes exprimés#Total des votes exprimés#Total des votes exprimés#69 122#77,93 %
Électeurs inscrits#Électeurs inscrits#Électeurs inscrits#88 696#<NA>
