unnamed:_0#nom#parti_politique#voix#%
<NA>#Sukhman Gill#Conservateur#24 116#43,09 %
<NA>#Kevin Gillies#Libéral#18 969#33,89 %
<NA>#Mike de Jong (en)#Indépendant#9 747#17,41 %
<NA>#Dharmasena Yakandawela#NPD#2 104#3,76 %
<NA>#Melissa Snazell#Vert#577#1,03 %
<NA>#Aeriol Alderking#Parti populaire#459#0,82 %
Total des votes valides#Total des votes valides#Total des votes valides#55 972#99,21 %
Total des votes rejetés#Total des votes rejetés#Total des votes rejetés#445#0,79 %
Total des votes exprimés#Total des votes exprimés#Total des votes exprimés#56 417#67,33 %
Électeurs inscrits#Électeurs inscrits#Électeurs inscrits#83 787#<NA>
