unnamed:_0#nom#parti_politique#voix#%
<NA>#Dan Albas (sortant)#Conservateur#33 219#50,92 %
<NA>#Juliette Sicotte#Libéral#28 827#44,19 %
<NA>#Harpreet Badohal#NPD#2 189#3,36 %
<NA>#Louise Lecouffe#Vert#602#0,92 %
<NA>#Debbie Robinson#Parti populaire#307#0,47 %
<NA>#Gary Suddard#Avenir canadien (en)#90#0,14 %
Total des votes valides#Total des votes valides#Total des votes valides#65 234#99,42 %
Total des votes rejetés#Total des votes rejetés#Total des votes rejetés#382#0,58 %
Total des votes exprimés#Total des votes exprimés#Total des votes exprimés#65 616#73,4 %
Électeurs inscrits#Électeurs inscrits#Électeurs inscrits#89 399#<NA>
