clt#joueur#équipe#pj#min#bc#moy#%arr#bl
1#Leonardo Genoni#Suisse#7#424 min 32 s#7#099#9533#4
2#Daniel Vladař#Tchéquie#4#219 min 52 s#4#109#9506#1
3#Jordan Binnington#Canada#4#239 min 15 s#5#125#9444#2
4#Juuse Saros#Finlande#6#358 min 50 s#10#167#9425#0
5#Samuel Ersson#Suède#5#259 min 6 s#5#116#9342#2
6#Philipp Grubauer#Allemagne#4#237 min 55 s#8#202#9298#0
7#Jeremy Swayman#États-Unis#7#426 min 11 s#12#169#9205#2
8#Samuel Hlavaj#Slovaquie#5#302 min 1 s#10#199#9115#0
9#Tobias Normann#Norvège#4#205 min 30 s#9#263#9072#1
10#David Kickert#Autriche#6#369 min 25 s#16#260#9030#0
Nota : seuls sont classés les gardiens ayant joué au minimum 40 % du temps de jeu de leur équipe.#Nota : seuls sont classés les gardiens ayant joué au minimum 40 % du temps de jeu de leur équipe.#Nota : seuls sont classés les gardiens ayant joué au minimum 40 % du temps de jeu de leur équipe.#Nota : seuls sont classés les gardiens ayant joué au minimum 40 % du temps de jeu de leur équipe.#Nota : seuls sont classés les gardiens ayant joué au minimum 40 % du temps de jeu de leur équipe.#Nota : seuls sont classés les gardiens ayant joué au minimum 40 % du temps de jeu de leur équipe.#Nota : seuls sont classés les gardiens ayant joué au minimum 40 % du temps de jeu de leur équipe.#Nota : seuls sont classés les gardiens ayant joué au minimum 40 % du temps de jeu de leur équipe.#Nota : seuls sont classés les gardiens ayant joué au minimum 40 % du temps de jeu de leur équipe.
