date#ville#pays#lieu#première_partie
AMERIQUE DU NORD#AMERIQUE DU NORD#AMERIQUE DU NORD#AMERIQUE DU NORD#AMERIQUE DU NORD
23 avril 2025#Mexico#Mexique#Arena CDMX#Mariana BO
25 avril 2025#Mexico#Mexique#Arena CDMX#Mariana BO
26 avril 2025#Mexico#Mexique#Arena CDMX#Midnight Generation
28 avril 2025#Monterrey#Mexique#Monterrey Arena#Mariana BO
29 avril 2025#Monterrey#Mexique#Monterrey Arena#Mariana BO
7 mai 2025#Houston#États-Unis#Toyota Center#Rebecca Black
9 mai 2025#Oklahoma#États-Unis#Paycom Center#Rebecca Black
10 mai 2025#Kansas City#États-Unis#T-Mobile Center#Rebecca Black
12 mai 2025#Chicago#États-Unis#United Center#Rebecca Black
13 mai 2025#Minneapolis#États-Unis#Target Center#Rebecca Black
17 mai 2025#Paradise#États-Unis#T-Mobile Arena#Rebecca Black
20 mai 2025#Austin#États-Unis#Moody Center#Rebecca Black
22 mai 2025#Dallas#États-Unis#American Airlines Center#Rebecca Black
OCEANIE#OCEANIE#OCEANIE#OCEANIE#OCEANIE
4 juin 2025#Sydney#Australie#Qudos Bank Arena#Kinder
7 juin 2025#Melbourne#Australie#Rod Laver Arena#Kinder
9 juin 2025#Sydney#Australie#Qudos Bank Arena#Kinder
10 juin 2025#Sydney#Australie#Qudos Bank Arena#Kinder
12 juin 2025#Melbourne#Australie#Rod Laver Arena#Kinder
13 juin 2025#Melbourne#Australie#Rod Laver Arena#Kinder
14 juin 2025#Melbourne#Australie#Rod Laver Arena#Kinder
17 juin 2025#Brisbane#Australie#Brisbane Entertainment Centre#Kinder
18 juin 2025#Brisbane#Australie#Brisbane Entertainment Centre#Kinder
22 juin 2025#Perth#Australie#RAC Arena#Kinder
23 juin 2025#Perth#Australie#RAC Arena#Kinder
26 juin 2025#Adélaïde#Australie#Adelaide Entertainment Centre#Kinder
27 juin 2025#Adélaïde#Australie#Adelaide Entertainment Centre#Kinder
29 juin 2025#Adélaïde#Australie#Adelaide Entertainment Centre#Kinder
30 juin 2025#Adélaïde#Australie#Adelaide Entertainment Centre#Kinder
AMERIQUE DU NORD#AMERIQUE DU NORD#AMERIQUE DU NORD#AMERIQUE DU NORD#AMERIQUE DU NORD
10 juillet 2025#Denver#États-Unis#Ball Arena#Rebecca Black
12 juillet 2025#Phoenix#États-Unis#Footprint Center#Rebecca Black
13 juillet 2025#Anaheim#États-Unis#Honda Center#Rebecca Black
15 juillet 2025#Inglewood#États-Unis#Kia Forum#Rebecca Black
18 juillet 2025#San Francisco#États-Unis#Chase Center#Rebecca Black
21 juillet 2025#Seattle#États-Unis#Climate Pledge Arena#Rebecca Black
22 juillet 2025#Vancouver#Canada#Rogers Arena#Rebecca Black
24 juillet 2025#Edmonton#Canada#Rogers Place#Rebecca Black
26 juillet 2025#Winnipeg#Canada#Canada Life Centre#Rebecca Black
29 juillet 2025#Ottawa#Canada#Canadian Tire Centre#Rebecca Black
