nom_du_personnage#comédien_original#comédien_français
Chasseur (voix 1)#Ryosuke Higa#Arnaud Masclet
Chasseuse (voix 2)#Farahnaz Nikray#Caroline Klaus
Chasseur (voix 3)#Hiroya Egashira#Charlie Beaubourg
Chasseuse (voix 4)#Takako Honda#Flora Brunier
Chasseur (voix 5)#Shohei Komatsu#Guillaume Pevée
Chasseuse (voix 6)#Aj Kakuma#Cindy Rodrigues
Palico type 1#Hina Kino#Lila Lacombe
Palico type 2#Mitsuhiro Ichiki#Gabriel Bismuth
Alma#Sara Matsumoto#Léopoldine Serre
Nata#Aino Shimada#Cécile Gatto
Gemma#Nanako Mori#Meaghan Dendraël
Olivia#Sayaka Kinoshita#Myrtille Bakouche
Erik#Mitsuki Saiga#Maxime Guerville
Werner#Eiji Hanawa#Matthieu Albertini
Athos#Nozomi Tamaki#Laurence Crouzet
Fabius#Hiroki Yasumoto#Stéphane Bazin
Y'sai#Shogo Batori#Sébastien Baulain
Zatoh#Shuhei Sakaguchi#Arthur Khong
Vielle Ela#Atsuko Sakuraoka#Cathy Cerda
Patapêche#Bibi#Maïk Darah
Tasheen#Yutaka Nakano#Vincent Violette
Nona#Miu Miyake#Clara Quilichini
Vieille Nana#Sayuri Sadaoka#Sophie Planet
Maki#Aya Gomazuru#Lisa Caruso
Yabran#Hiroshi Naka#Pascal Casanova
Dogard#Hiroshi Shirokuma#Vincent Touré
Roqul#Seiyu Fujiwara#Arnaud Laurent
Aida#Momoko Taneichi#Marine Lemonnier
Rove#Shinji Kawada#Emmanuel Rausenberger
L'Allhearken#Kaoru Katakai#Nathalie Bleynie
Tetsuzan#Shiro Go#Hervé Jolly
