unnamed:_0#nom#parti_politique#voix#%
<NA>#Brenda Shanahan (sortante)#Libéral#18 029#37,03 %
<NA>#Patrick O'Hara#Bloc québécois#18 017#37,01 %
<NA>#Pierre Bournaki#Conservateur#5 538#11,38 %
<NA>#Hannah Wolker#NPD#3 752#7,71 %
<NA>#Jeff Benoit#Parti populaire#1 821#3,74 %
<NA>#Frédéric Olivier#Vert#801#1,65 %
<NA>#André Lafrance#Parti Libre Canada#448#0,92 %
<NA>#Marc Gagnon#PIQ#277#0,57 %
Total des votes valides#Total des votes valides#Total des votes valides#48 683#97,87 %
Total des votes rejetés#Total des votes rejetés#Total des votes rejetés#1 061#2,13 %
Total des votes exprimés#Total des votes exprimés#Total des votes exprimés#49 744#62,29 %
Électeurs inscrits#Électeurs inscrits#Électeurs inscrits#79 854#<NA>
