unnamed:_0#nom#parti_politique#voix#%
<NA>#Mike Kelloway (sortant)#Libéral#25 766#54,63 %
<NA>#Anna Manley#Conservateur#17 978#38,12 %
<NA>#Kimberly Losier#NPD#1 789#3,79 %
<NA>#Joe Ward#Indépendant#601#1,27 %
<NA>#Jeffrey Evely#Parti populaire#589#1,25 %
<NA>#Michael Pittman#Parti libertarien#189#0,4 %
<NA>#Chris Gallant#Avenir canadien (en)#169#0,36 %
<NA>#Nik Boisvert#Marxiste-léniniste#85#0,18 %
Total des votes valides#Total des votes valides#Total des votes valides#47 166#99,22 %
Total des votes rejetés#Total des votes rejetés#Total des votes rejetés#373#0,78 %
Total des votes exprimés#Total des votes exprimés#Total des votes exprimés#47 539#69,58 %
Électeurs inscrits#Électeurs inscrits#Électeurs inscrits#68 320#<NA>
