épreuves#or#argent#bronze
Moins de 48 kg poids super-légers#Oumaima Bedioui (TUN)#Houaria Kaddour (ALG)#Maria Segunda (ANG)
Moins de 48 kg poids super-légers#Oumaima Bedioui (TUN)#Houaria Kaddour (ALG)#Noura Salem (EGY)
Moins de 52 kg poids mi-légers#Soumiya Iraoui (MAR)#Faïza Aissahine (ALG)#Chaima Sidaoui (TUN)
Moins de 52 kg poids mi-légers#Soumiya Iraoui (MAR)#Faïza Aissahine (ALG)#Marie Céline Baba Matia (CMR)
Moins de 57 kg poids légers#Mariana Esteves (GUI)#Andreza Antonio (ANG)#Khadidja Bekheira (ALG)
Moins de 57 kg poids légers#Mariana Esteves (GUI)#Andreza Antonio (ANG)#Tassnim Roshdy (EGY)
Moins de 63 kg poids mi-moyens#Jasmine Martin (RSA)#Chaimae Taibi (MAR)#Fatma Ghanem (EGY)
Moins de 63 kg poids mi-moyens#Jasmine Martin (RSA)#Chaimae Taibi (MAR)#Amina Belkadi (ALG)
Moins de 70 kg poids moyens#Aina Laura Rasoanaivo Razafy (MAD)#Zita Biami (CMR)#Diassonema Mucungui (ANG)
Moins de 70 kg poids moyens#Aina Laura Rasoanaivo Razafy (MAD)#Zita Biami (CMR)#Wided Rajhid (TUN)
Moins de 78 kg poids mi-lourds#Marie Branser (GUI)#Arij Akkab (TUN)#Georgika Wesly Djengue Moune (CMR)
Moins de 78 kg poids mi-lourds#Marie Branser (GUI)#Arij Akkab (TUN)#Dyhia Benchallal (ALG)
Plus de 78 kg poids lourds#Siwar Dhawedi (TUN)#Meroua Mammeri (ALG)#Sarra Mzougui (TUN)
Plus de 78 kg poids lourds#Siwar Dhawedi (TUN)#Meroua Mammeri (ALG)#Crislayn Rodrigues (ANG)
