names#dates#location#teams#champion#runner-up#3rd-place_winner
Bahamas Championship#November 20–21, 2025#Baha Mar Convention Center (Nassau, Bahamas)#4#Purdue#Texas Tech#Wake Forest
Hall of Fame Classic#November 20–21, 2025#T-Mobile Center (Kansas City, MO)#4#Nebraska#Kansas State#New Mexico
Boardwalk Battle#November 20 & 22, 2025#Ocean Center (Daytona Beach, FL)#4#High Point#Incarnate Word#UIC
Charleston Classic#November 21 & 23, 2025#TD Arena (Charleston, SC)#8#Utah State (Lowcountry)  Clemson (Palmetto)#Davidson (Lowcountry)  Georgia (Palmetto)#Tulane (Lowcountry)  Xavier (Palmetto)
Pensacola Invitational#November 22–23, 2025#Pensacola Bay Center (Pensacola, FL)#4#Southern Miss#UT Martin#Prairie View A&M
Paradise Jam#November 21–24, 2025#Sports and Fitness Center (Charlotte Amalie West, VI)#8#Yale#Akron#Charleston
Sunshine Slam#November 24–25, 2025#Ocean Center (Daytona Beach, FL)#8#George Mason (Beach) Pacific (Ocean)#Florida Atlantic (Beach) Jacksonville (Ocean)#Loyola Marymount (Beach)  Stony Brook (Ocean)
Coconut Hoops#November 24 & 26, 2025#Alico Arena (Fort Myers, FL)#4#Belmont#Toledo#Troy
Maui Invitational#November 24–26, 2025#Lahaina Civic Center (Lahaina, HI)#8#USC#Arizona State#Seton Hall
Acrisure Classic#November 25–26, 2025#Acrisure Arena (Thousand Palms, CA)#4#Iowa#Grand Canyon#Utah
Acrisure Holiday Invitational#November 25–26, 2025#Acrisure Arena (Thousand Palms, CA)#4#Tulsa#Northern Iowa#San Jose State
Players Era Festival#November 24–27, 2025#MGM Grand Garden Arena (Las Vegas, NV)#18#Michigan#Gonzaga#Kansas
ESPN Events Invitational#November 24–28, 2025#State Farm Field House (Lake Buena Vista, FL)#16#UC San Diego (Adventure) Illinois State (Imagination) BYU (Magic)#Towson (Adventure) Furman (Imagination) Dayton (Magic)#Bradley (Adventure) Richmond (Imagination) Miami (Magic)
Battle 4 Atlantis#November 26–28, 2025#Imperial Arena (Paradise Island, Bahamas)#8#Vanderbilt#Saint Mary's#VCU
Acrisure Holiday Classic#November 27–28, 2025#Acrisure Arena (Thousand Palms, CA)#4#Colorado#Washington#Nevada
Acrisure Invitational#November 27–28, 2025#Acrisure Arena (Thousand Palms, CA)#4#Stanford#Saint Louis#Santa Clara
Rady Children's Invitational#November 27–28, 2025#Jenny Craig Pavilion (San Diego, CA)#4#TCU#Wisconsin#Florida
Emerald Coast Classic#November 28–29, 2025#Raider Arena (Niceville, FL)#4#LSU#DePaul#Drake
Resorts World Las Vegas Classic#November 28–29, 2025#Resorts World Event Center (Winchester, Nevada)#4#UC Santa Barbara#Seattle#Lehigh
Big 5 Classic#November 11–December 8, 2025#Xfinity Mobile Arena (final rounds) (Philadelphia, PA)#6#<NA>#<NA>#<NA>
Sun Bowl Invitational#December 21–22, 2025#Don Haskins Center (El Paso, TX)#4#<NA>#<NA>#<NA>
