date_time,_tv_non-conference_regular_season#opponent_non-conference_regular_season#result_non-conference_regular_season#record_non-conference_regular_season#site_(attendance)_city,_state_non-conference_regular_season
November 3, 2025* 6:30 pm, BTN#vs. Maryland Naismith Hall of Fame Series Baltimore#L 61–83#0–1#CFG Bank Arena Baltimore, MD
November 5, 2025* 6:30 pm, ESPN+#at La Salle#L 59–87#0–2#John Glaser Arena (1,587) Philadelphia, PA
November 9, 2025* 1:00 pm, ESPN+#at James Madison#L 70–84#0–3#Atlantic Union Bank Center (2,665) Harrisonburg, VA
November 12, 2025* 7:00 pm, ACCNX/ESPN+#at South Florida#L 50–100#0–4#Yuengling Center (3,208) Tampa, FL
November 14, 2025* 11:00 am#vs. Central Michigan Showdown in St. Pete#L 59–82#0–5#McArthur Center (142) St. Petersburg, FL
November 15, 2025* 11:00 am#vs. South Alabama Showdown in St. Pete#L 62–72#0–6#McArthur Center (243) St. Petersburg, FL
November 18, 2025* 11:00 am, ESPN+#Central Penn#W 103–62#1–6#Physical Education Complex (2,928) Baltimore, MD
November 22, 2025* 7:30 pm, ESPN+#at VCU#L 58–101#1–7#Siegel Center (7,242) Richmond, VA
November 25, 2025* 7:00 pm, ESPN+#at Rider#W 68–65#2–7#Alumni Gymnasium (822) Lawrenceville, NJ
November 30, 2025* 6:00 pm, ESPN+#at Loyola (MD)#L 84–95#2–8#Reitz Arena (517) Baltimore, MD
December 3, 2025* 7:00 pm, ESPN+#at West Virginia#L 49–91#2–9#Hope Coliseum (9,713) Morgantown, WV
December 6, 2025* 2:00 pm, ESPN+#at Liberty#<NA>#<NA>#Liberty Arena Lynchburg, VA
December 9, 2025* 7:00 pm, ESPN+#at Saint Joseph's#<NA>#<NA>#Hagan Arena Philadelphia, PA
December 14, 2025* 2:30 pm, ESPN+#at Radford#<NA>#<NA>#Dedmon Center Radford, VA
December 19, 2025* 5:00 pm, ESPN+#at Navy#<NA>#<NA>#Alumni Hall Annapolis, MD
December 22, 2025* 6:30 pm, ESPN+#at Georgetown#<NA>#<NA>#McDonough Arena Washington, D.C.
December 29, 2025* 6:00 pm, ESPN+#UMBC#<NA>#<NA>#Physical Education Complex Baltimore, MD
MEAC regular season#MEAC regular season#MEAC regular season#MEAC regular season#MEAC regular season
January 3, 2026 4:30 pm, ESPN+#at Delaware State#<NA>#<NA>#Memorial Hall Dover, DE
January 10, 2026 4:30 pm, ESPN+#North Carolina Central#<NA>#<NA>#Physical Education Complex Baltimore, MD
January 12, 2026 7:00 pm, ESPN+#South Carolina State#<NA>#<NA>#Physical Education Complex Baltimore, MD
January 17, 2026 4:30 pm, ESPN+#at Maryland Eastern Shore#<NA>#<NA>#Hytche Athletic Center Princess Anne, MD
January 24, 2026* 4:30 pm, ESPN+#at Norfolk State#<NA>#<NA>#Echols Hall Norfolk, VA
January 26, 2026 7:00 pm, ESPN+#Howard#<NA>#<NA>#Physical Education Complex Baltimore, MD
January 31, 2026 4:30 pm, ESPN+#Morgan State#<NA>#<NA>#Physical Education Complex Baltimore, MD
February 7, 2026 4:30 pm, ESPN+#Delaware State#<NA>#<NA>#Physical Education Complex Baltimore, MD
February 14, 2026 4:30 pm, ESPN+#at North Carolina Central#<NA>#<NA>#McDougald–McLendon Arena Durham, NC
