team_team#county_county#captain(s)_captain(s)#manager_manager#most_recent_success_provincial#most_recent_success_county
Ballygunner#Waterford#Mikey Mahony Adam Hogan#Jason Ryan#2023#2024
Ballyhale Shamrocks#Kilkenny#T. J. Reid#Henry Shefflin#2022#2022
Castletown Geoghegan#Westmeath#Aonghus Clarke#Alan Mangan#<NA>#2024
Clough–Ballacolla#Laois#Aidan Corby#Willie Hyland#<NA>#2024
Éire Óg#Clare#David Reidy#Gerry O'Connor#<NA>#1990
Kilcormac–Killoughey#Offaly#Conor Slevin#Declan Laffan#2012#2024
Loughmore–Castleiney#Tipperary#Liam McGrath#Éamonn Kelly#2007#2024
Loughrea#Galway#Ian Hanrahan#Tommy Kelly#2006#2024
Mount Leinster Rangers#Carlow#Kevin McDonald#Paul O'Brien#2013#2023
Na Piarsaigh#Limerick#Jerome Boylan#Shane O'Neill#2017#2023
Naas#Kildare#Brian Byrne#Tom Mullally#<NA>#2024
Portaferry#Down#Matthew Conlan#Gerard McGrattan#2014#2024
Sarsfields#Cork#Conor O'Sullivan#Johnny Crowley#2024#2023
Setanta#Donegal#Mark Callaghan#Mark Marley#<NA>#2022
Slaughtneil#Derry#Mark McGuigan#Paul McCormack#2024#2024
St John's#Antrim#Ciaran Johnston#Gerard Cunningham#1973#1973
St Martin's#Wexford#Conor Firman#Daithí Hayes#<NA>#2024
