no.#date#place_(in_brackets_stage)#discipline
1#3 December 2025#Östersund (1)#20 km IND
2#6 December 2025#Östersund (1)#10 km SPR
3#7 December 2025#Östersund (1)#12.5 km PUR
4#12 December 2025#Hochfilzen (2)#10 km SPR
5#13 December 2025#Hochfilzen (2)#12.5 km PUR
6#19 December 2025#Annecy–Le Grand-Bornand (3)#10 km SPR
7#20 December 2025#Annecy–Le Grand-Bornand (3)#12.5 km PUR
8#21 December 2025#Annecy–Le Grand-Bornand (3)#15 km MSS
9#8 January 2026#Oberhof (4)#10 km SPR
10#10 January 2026#Oberhof (4)#12.5 km PUR
11#17 January 2026#Ruhpolding (5)#10 km SPR
12#18 January 2026#Ruhpolding (5)#12.5 km PUR
13#22 January 2026#Nové Město na Moravě (6)#15 km SIND
14#25 January 2026#Nové Město na Moravě (6)#15 km MSS
2026 Winter Olympics (8–20 February • Milano–Cortina, Italy)[a]#2026 Winter Olympics (8–20 February • Milano–Cortina, Italy)[a]#2026 Winter Olympics (8–20 February • Milano–Cortina, Italy)[a]#2026 Winter Olympics (8–20 February • Milano–Cortina, Italy)[a]
<NA>#10 February 2026#Antholz-Anterselva (OG)#20 km IND
<NA>#13 February 2026#Antholz-Anterselva (OG)#10 km SPR
<NA>#15 February 2026#Antholz-Anterselva (OG)#12.5 km PUR
<NA>#20 February 2026#Antholz-Anterselva (OG)#15 km MSS
15#6 March 2026#Kontiolahti (7)#20 km IND
16#8 March 2026#Kontiolahti (7)#15 km MSS
17#12 March 2026#Otepää (8)#10 km SPR
18#14 March 2026#Otepää (8)#12.5 km PUR
19#20 March 2026#Oslo Holmenkollen (9)#10 km SPR
20#21 March 2026#Oslo Holmenkollen (9)#12.5 km PUR
21#22 March 2026#Oslo Holmenkollen (9)#15 km MSS
48th Biathlon World Cup Overall (3 December 2025 – 22 March 2026)#48th Biathlon World Cup Overall (3 December 2025 – 22 March 2026)#48th Biathlon World Cup Overall (3 December 2025 – 22 March 2026)#48th Biathlon World Cup Overall (3 December 2025 – 22 March 2026)
