date_time,_tv_regular_season#opponent_regular_season#site_(attendance)_city,_state_regular_season
November 3, 2025* 7:00 p.m., ESPN+#Old Dominion MAC-SBC Challenge#Millett Hall (2,131) Oxford, OH
November 7, 2025* 7:30 p.m., ESPN+#Trinity Christian (IL)#Millett Hall (2,087) Oxford, OH
November 15, 2025* 2:00 pm#at Air Force#Clune Arena (1,117) Colorado Springs, CO
November 20, 2025* 7:00 pm, ESPN+#Mercyhurst Marshall MTE#Millett Hall (1,633) Oxford, OH
November 23, 2025* 1:00 p.m.#Arkansas–Pine Bluff Marshall MTE#Millett Hall (1,176) Oxford, OH
November 26, 2025* 2:00 pm, ESPN+#vs. UNC Greensboro#John Hurst Adams Gymnasium (46) Jacksonville, FL
December 2, 2025* 7:00 p.m.#Indiana East#Millett Hall Oxford, OH
December 6, 2025* 1:00 p.m.#Maine#Millett Hall Oxford, OH
December 10, 2025* 6:30 pm#at UNC Asheville#Kimmel Arena Asheville, NC
December 13, 2025* 3:00 p.m., ESPN+#at Eastern Kentucky#Baptist Health Arena Richmond, KY
December 16, 2025* 7:00 p.m., ESPN+#at Wright State#Nutter Center Fairborn, OH
December 20, 2025 2:00 p.m.#at Ball State#Worthen Arenal Muncie, IN
December 22, 2025* 2:30 p.m.#Milligan#Millett Hall Oxford, OH
December 30, 2025 7:00 pm#at Bowling Green#Stroh Center Bowling Green, OH
January 3, 2026 3:30 p.m.#Akron#Millett Hall Oxford, OH
January 6, 2026 7:00 p.m.#Western Michigan#Millett Hall Oxford, OH
January 10, 2026 TBA#at Toledo#Savage Arena Toledo, OH
January 13, 2026 7:00 p.m.#Central Michigan#Millett Hall Oxford, OH
January 17, 2026 1:00 p.m.#Buffalo#Millett Hall Oxford, OH
January 20, 2026 7:00 p.m.#at Kent State#MAC Center Kent, OH
January 27, 2026 7:00 p.m.#UMass#Millett Hall Oxford, OH
January 31, 2026 3:30 p.m.#Northern Illiinois#Millett Hall Oxford, OH
February 3, 2026 6:30 pm#at Buffalo#Alumni Arena Amherst, NY
February 7, 2026* TBA#at TBA MAC–SBC Challenge#TBA TBA
February 14, 2026 1:00 p.m.#Ohio#Millett Hall Oxford, OH
February 17, 2026 7:00 p.m.#at UMass#Mullins Center Amherst, MA
February 21, 2026 3:30 p.m.#at Bowling Green#Stroh Center Bowling Green, OH
February 24, 2026 6:30 p.m.#at Eastern Michigan#George Gervin GameAbove Center Ypsilanti, MI
February 28, 2026 2:30 p.m., ESPN+#at Western Michigan#University Arena Kalamazoo, MI
March 3, 2026 7:00 p.m.#Toledo#Millett Hall Oxford, OH
March 6, 2026 7:00 p.m.#at Ohio#Convocation Center Athens, OH
