date_time,_tv_exhibition#opponent_exhibition#result_exhibition#record_exhibition#site_(attendance)_city,_state_exhibition
October 25, 2025* 4:00 p.m.#at Providence#L 77–85#<NA>#Amica Mutual Pavilion (2,875) Providence, RI
October 30, 2025* 7:00 p.m., ESPN+#UMass Boston#W 107–58#<NA>#Lavietes Pavilion (531) Boston, MA
Non-conference regular season#Non-conference regular season#Non-conference regular season#Non-conference regular season#Non-conference regular season
November 7, 2025* 5:00 p.m., ESPN+#MIT#W 79–50#1–0#Lavietes Pavilion (1,265) Boston, MA
November 9, 2025* 12:00 p.m., ESPN+#New Hampshire#W 86–75#2–0#Lavietes Pavilion (784) Boston, MA
November 11, 2025* 7:00 p.m., ESPN+#Northeastern#L 60–77#2–1#Lavietes Pavilion (901) Boston, MA
November 15, 2025* 2:00 p.m., ESPN+#at Army#W 75–52#3–1#Christl Arena (911) West Point, NY
November 16, 2025* 5:00 p.m., ESPN+#at Marist#W 56–54#4–1#McCann Arena (1,884) Poughkeepsie, NY
November 19, 2025* 6:30 p.m., B1G+#at Penn State#L 80–84#4–2#Bryce Jordan Center (5,708) State College, PA
November 22, 2025* 1:30 p.m#vs. Boston University Hall of Fame Showcase#L 74–75#4–3#Mohegan Sun Arena (6,456) Uncasville, CT
November 26, 2025* 4:00 p.m., ACCNX/ESPN+#at Boston College#L 60–73#4–4#Conte Forum (4,439) Chestnut Hill, MA
November 29, 2025* 2:00 p.m., ESPN+#Bryant#W 56–53#5–4#Lavietes Pavilion (1,022) Boston, MA
December 3, 2025* 7:00 p.m., ESPN+#at UMass#L 71–78#5–5#Mullins Center (2,216) Amherst, MA
December 6, 2025* 2:00 p.m., ESPN+#at Furman#<NA>#<NA>#Timmons Arena Greenville, SC
December 20, 2025* 2:00 p.m., ESPN+/NESN#Holy Cross#<NA>#<NA>#Lavietes Pavilion Boston, MA
December 23, 2025* 6:00 p.m., FS1#at St. John's#<NA>#<NA>#Carnesecca Arena Queens, NY
December 28, 2025* 2:00 p.m., ESPN+#at Colgate#<NA>#<NA>#Cotterell Court Hamilton, NY
Ivy League regular season#Ivy League regular season#Ivy League regular season#Ivy League regular season#Ivy League regular season
January 5, 2026 7:00 p.m., ESPN+#Dartmouth#<NA>#<NA>#Lavietes Pavilion Boston, MA
January 10, 2026 2:00 p.m., ESPN+#at Columbia#<NA>#<NA>#Levien Gymnasium New York, NY
January 17, 2026 2:00 p.m., ESPN+#Princeton#<NA>#<NA>#Lavietes Pavilion Boston, MA
January 19, 2026 2:00 p.m., ESPN+#Penn#<NA>#<NA>#Lavietes Pavilion Boston, MA
January 24, 2026 2:00 p.m., ESPN+#Cornell#<NA>#<NA>#Lavietes Pavilion Boston, MA
January 30, 2026 7:00 p.m., ESPN+#at Brown#<NA>#<NA>#Pizzitola Sports Center Providence, RI
January 31, 2026 7:00 p.m., ESPN+#at Yale#<NA>#<NA>#John J. Lee Amphitheater New Haven, CT
February 7, 2026 TBD, ESPN+#at Dartmouth#<NA>#<NA>#Leede Arena Hanover, NH
February 13, 2026 7:00 p.m., ESPN+#Brown#<NA>#<NA>#Lavietes Pavilion Boston, MA
February 14, 2026 7:00 p.m., ESPN+#Yale#<NA>#<NA>#Lavietes Pavilion Boston, MA
