ep._ep.#original_broadcast_date_original_broadcast_date#average_audience_share_(nielsen_korea)[7][8]_nationwide#average_audience_share_(nielsen_korea)[7][8]_seoul
1#November 10, 2025#1.940% (5th)#2.162% (3rd)
2#November 11, 2025#1.51% (12th)#1.337% (10th)
3#November 17, 2025#2.014% (6th)#2.237% (3rd)
4#November 18, 2025#1.885% (8th)#1.917% (8th)
5#November 24, 2025#2.237% (6th)#2.317% (5th)
6#November 25, 2025#2.209% (7th)#2.141% (7th)
7#December 1, 2025#2.742% (2nd)#2.975% (2nd)
8#December 2, 2025#3.079% (4th)#3.284% (3rd)
9#December 8, 2025#<NA>#<NA>
10#December 9, 2025#<NA>#<NA>
11#December 15, 2025#<NA>#<NA>
12#December 16, 2025#<NA>#<NA>
Average#Average#<NA>#<NA>
