name#years_active#instruments#release_contributions
Fredrik Nordström#1996–2000#keyboardspiano#Black Earth (1996) Stigmata (1998) Covered in Blood (2019)
Per Wiberg#1997–200420072010–20112013–2014#mellotronpianokeyboards#None
Ola Strömberg#2005#keyboards#Doomsday Machine (2005)
Apollo Papathanasio#2005#backing vocals#Doomsday Machine (2005)
Mikkel Sandager#2010–2011#backing vocals#Khaos Legions (2011)
Henrik Janson#2013–20142016–2017#orchestrationstring arrangements#War Eternal (2014) Will to Power (2017)
Ulf Janson#2013–20142016–2017#keyboardsorchestrationstring arrangements#War Eternal (2014) Will to Power (2017)
Jens Johansson#2016–2017#keyboards#Will to Power (2017)
Ulf Forsberg#2016–2017#violin#Will to Power (2017)
Christian Bergqvist#2016–2017#violin#Will to Power (2017)
Per Öman#2016–2017#violin#Will to Power (2017)
Ulrika Jansson#2016–2017#violin#Will to Power (2017)
Bo Söderström#2016–2017#violin#Will to Power (2017)
Torbjörn Bernhardsson#2016–2017#violin#Will to Power (2017)
Tony Bauer#2016–2017#viola#Will to Power (2017)
Riikka Repo#2016–2017#viola#Will to Power (2017)
Johanna Sjunnesson#2016–2017#cello#Will to Power (2017)
Raphael Liebermann#20222024#cello#Deceivers (2022) Blood Dynasty (2025)
Francesco Ferrini#2024#keyboardsorchestrations#Blood Dynasty (2025)
