rank#nation#gold#silver#bronze#total
1#France (FRA)#3#4#2#9
2#Spain (ESP)#3#1#1#5
3#Italy (ITA)#1#1#3#5
4#Serbia (SRB)#1#0#4#5
5#Azerbaijan (AZE)#1#0#2#3
5#Bulgaria (BUL)#1#0#2#3
7#Japan (JPN)#1#0#1#2
8#Israel (ISR)#1#0#0#1
8#Kosovo (KOS)#1#0#0#1
8#United Arab Emirates (UAE)#1#0#0#1
11#Croatia (CRO)*#0#1#2#3
11#Hungary (HUN)#0#1#2#3
13#Austria (AUT)#0#1#1#2
13#Georgia (GEO)#0#1#1#2
13#Netherlands (NED)#0#1#1#2
13#Poland (POL)#0#1#1#2
17#Guinea (GUI)#0#1#0#1
17#Ukraine (UKR)#0#1#0#1
19#Belgium (BEL)#0#0#1#1
19#Great Britain (GBR)#0#0#1#1
19#Romania (ROU)#0#0#1#1
19#Slovenia (SLO)#0#0#1#1
19#Switzerland (SUI)#0#0#1#1
Totals (23 entries)#Totals (23 entries)#14#14#28#56
