player#gp#g#a#pts#sog#+/−#pim
Natalie Spooner#3#1#2#3#14#+1#2
Blayre Turnbull#3#2#0#2#8#+2#2
Daryl Watts#2#1#1#2#5#+2#0
Savannah Harmon#3#0#2#2#3#+2#0
Emma Maltais#3#0#2#2#6#+1#2
Ella Shelton#3#1#0#1#4#+1#0
Kiara Zanon#3#1#0#1#4#–2#0
Jesse Compher#3#0#1#1#10#+1#2
Claire Dalton#3#0#1#1#3#0#2
Anna Kjellbin#3#0#1#1#3#–1#0
Allie Munroe#3#0#1#1#2#–2#0
Jessica Kondas#1#0#0#0#1#0#0
Clair DeGeorge#2#0#0#0#0#0#0
Renata Fast#2#0#0#0#3#+2#0
Lauren Messier#2#0#0#0#1#0#0
Maggie Connors#3#0#0#0#4#–1#0
Kali Flanagan#3#0#0#0#4#–2#0
Emma Gentry#3#0#0#0#1#–3#2
Sara Hjalmarsson#3#0#0#0#2#–2#0
Clara Van Wieren#3#0#0#0#1#0#0
Emma Woods#3#0#0#0#2#–1#0
