player#gp#g#a#pts#sog#+/−#pim
Susanna Tapani#3#2#1#3#7#2#0
Abby Newhook#3#2#0#2#7#3#0
Megan Keller#3#1#1#2#5#2#0
Alina Müller#3#1#1#2#5#2#0
Jill Saulnier#3#1#1#2#7#2#4
Jamie Lee Rattray#3#0#2#2#0#2#0
Hannah Brandt#3#0#1#1#1#0#0
Hadley Hartmetz#3#0#1#1#3#3#0
Theresa Schafzahl#3#0#1#1#1#1#0
Sophie Shirley#3#0#1#1#4#0#0
Olivia Mobley#1#0#0#0#0#0#0
Olivia Zafuto#1#0#0#0#1#0#0
Zoe Boyd#2#0#0#0#1#2#0
Liz Schepers#2#0#0#0#3#1#0
Riley Brengman#3#0#0#0#2#0#0
Ella Huber#3#0#0#0#5#0#0
Laura Kluge#3#0#0#0#2#1#2
Rylind MacKinnon#3#0#0#0#0#1#0
Shay Maloney#3#0#0#0#6#0#0
Daniela Pejšová#3#0#0#0#5#1#0
Haley Winn#3#0#0#0#6#2#0
