name#number#pos.#height#year#hometown#reason_for_departure
Zyanna Walker#1#G#5'8"#Sophomore#Wichita, KS#Transferred to Colorado
Temira Poindexter#2#G#6'2"#Senior#Sapulpa, OK#Graduated
Jaelyn Glenn#3#G#6'1"#Senior#Kansas City, MO#Graduated
Serena Sundell#4#G#6'2"#Senior#Maryville, MO#Graduated/2025 WNBA draft; selected 26th overall by Seattle Storm
Brylee Glenn#5#G#5'11"#Senior#Kansas City, MO#Transferred to Minnesota
Kennedy Taylor#12#F#6'2"#Senior#Shawnee Mission, KS#Graduated
Eliza Maupin#21#F#6'3"#Junior#Webster Groves, MO#Transferred to Nebraska
Gisela Sanchez#30#F#6'4"#Junior#Barcelona, Spain#Transferred to Notre Dame
Imani Lester#32#F#6'4"#Sophomore#Raleigh, NC#Transferred to Rutgers
Finley Ohnstad#33#G#6'1"#Freshman#Elko New Market, MN#Transferred to North Dakota
Ayoka Lee#50#C#6'6"#Graduate Student#Byron, MN#Graduated
