name#number#pos.#height#year#hometown#reason_for_departure
Denim DeShields#0#G#5'5"#Junior#Atlanta, GA#Transferred to Ole Miss
JerKaila Jordan#2#G#5'10"#Graduate Student#New Orleans, LA#Graduated
Terren Ward#3#G/F#5'11"#Graduate Student#Jesup, GA#Graduated
Eniya Russell#4#G/F#6'0"#Graduate Student#Baltimore, MD#Graduated
Shakirah Edwards#6#G#5'10"#Freshman#Panama City, FL#Transferred to Troy
Anaisha Carriere#8#G/F#6'2"#Freshman#Gulfport, MS#Transferred to Southern Miss
Tahj-Monet Bloom#11#F#6'2"#Freshman#Okinawa, Japan#Transferred to Nevada
Kayla Thomas#14#F#6'2"#Senior#Beltsville, MD#Graduated
Madina Okot#15#C#6'6"#Junior#Mumias, Kenya#Transferred to South Carolina
Debreasha Powe#21#G/F#6'1"#Junior#Meridian, MS#Transferred to Ole Miss
Quanirah Montague#24#F#6'5"#Sophomore#Atlantic City, NJ#Transferred to Auburn
