pos_gt500#no_gt500#entrant_gt500#drivers_gt500#chassis_gt500#tyre_gt500#laps_gt500#time/retired_gt500
1#1#TGR Team au TOM'S#Sho Tsuboi  Kenta Yamashita#Toyota GR Supra GT500#B#63#1:51:05.545
2#23#NISMO#Katsumasa Chiyo  Mitsunori Takaboshi#Nissan Z NISMO GT500#B#63#+1.269
3#100#Stanley Team Kunimitsu#Tadasuke Makino  Naoki Yamamoto#Honda Civic Type R-GT#B#63#+26.945
4#39#TGR Team SARD#Yuhi Sekiguchi  Sacha Fenestraz#Toyota GR Supra GT500#B#63#+27.367
5#37#TGR Team Deloitte TOM'S#Giuliano Alesi  Ukyo Sasahara#Toyota GR Supra GT500#B#63#+39.116
6#8#ARTA#Nobuharu Matsushita  Tomoki Nojiri#Honda Civic Type R-GT#B#63#+50.138
7#38#TGR Team KeePer Cerumo#Hiroaki Ishiura  Toshiki Oyu#Toyota GR Supra GT500#B#63#+1:01.521
8#16#ARTA#Hiroki Otsu  Ren Sato#Honda Civic Type R-GT#B#63#+1:01.734
9#3#NISMO NDDP#Atsushi Miyake  Daiki Sasaki#Nissan Z NISMO GT500#B#63#+1:05.968
10#24#Kondo Racing#Tsugio Matsuda  Teppei Natori#Nissan Z NISMO GT500#Y#63#+1:11.220
11#19#TGR Team WedsSport Bandoh#Yuji Kunimoto  Sena Sakaguchi#Toyota GR Supra GT500#Y#63#+1:15.608
12#64#Modulo Nakajima Racing#Takuya Izawa  Riki Okusa#Honda Civic Type R-GT#D#63#+1:19.565
13#17#Astemo Real Racing#Syun Koide  Koudai Tsukakoshi#Honda Civic Type R-GT#B#63#+1:27.339
14#14#TGR Team ENEOS ROOKIE#Kazuya Oshima  Nirei Fukuzumi#Toyota GR Supra GT500#B#63#+1:58.537
DSQ#12#Team Impul#Bertrand Baguette  Kazuki Hiramine#Nissan Z NISMO GT500#B#63#Disqualified
GT300#GT300#GT300#GT300#GT300#GT300#GT300#GT300
1#5#Team Mach#Yusuke Shiotsu  Iori Kimura#Toyota 86 MC GT300#Y#59#1:52:23.835
2#61#R&D Sport#Takuto Iguchi  Hideki Yamauchi#Subaru BRZ GT300 (ZD8)#D#59#+9.217
3#666#Seven x Seven Racing#Harry King  Tsubasa Kondo#Porsche 911 GT3 R (992)#Y#59#+9.710
4#56#Kondo Racing#Kohei Hirate  João Paulo de Oliveira#Nissan GT-R Nismo GT3#Y#59#+9.978
5#52#Saitama Green Brave#Hiroki Yoshida  Seita Nonaka#Toyota GR Supra GT300#B#59#+12.075
6#65#K2 R&D LEON Racing#Naoya Gamou  Togo Suganami#Mercedes-AMG GT3 Evo#B#59#+26.066
7#7#CarGuy MKS Racing#Rikuto Kobayashi  Zak O'Sullivan#Ferrari 296 GT3#Y#59#+33.303
8#4#Goodsmile Racing & TeamUkyo#Nobuteru Taniguchi  Tatsuya Kataoka#Mercedes-AMG GT3 Evo#Y#58#+1 Lap
9#2#Hyper Water Racing Inging#Yuui Tsutsumi  Hibiki Taira#Toyota GR86 GT300#B#58#+1 Lap
10#18#Team UpGarage#Takashi Kobayashi  Yuto Nomura#Mercedes-AMG GT3 Evo#Y#58#+1 Lap
11#87#JLOC#Kosuke Matsuura  Natsu Sakaguchi#Lamborghini Huracán GT3 Evo 2#Y#58#+1 Lap
12#777#D'station Racing#Tomonobu Fujii  Charlie Fagg#Aston Martin Vantage AMR GT3 Evo#D#58#+1 Lap
13#96#K-tunes Racing#Morio Nitta  Shinichi Takagi#Lexus RC F GT3#D#58#+1 Lap
