name#title#appointment#termination#notes
Georgy Pushkin#Envoy#16 October 1949#26 May 1952#Credentials presented on 4 November 1949
Ivan Ilyichev#Envoy#1 June 1952#29 May 1953#Credentials presented on 5 June 1952
Vladimir Semyonov#Envoy until 19 September 1953 Ambassador after 19 September 1953#29 May 1953#17 July 1954#Credentials presented on 1 October 1953
Georgy Pushkin#Ambassador#17 July 1954#21 February 1958#Credentials presented on 28 July 1954
Mikhail Pervukhin#Ambassador#21 February 1958#15 December 1962#Credentials presented on 14 March 1958
Pyotr Abrasimov#Ambassador#15 December 1962#18 September 1971#Credentials presented on 17 December 1962
Mikhail Yefremov#Ambassador#30 October 1971#7 March 1975#Credentials presented on 30 October 1971
Pyotr Abrasimov#Ambassador#7 March 1975#12 June 1983#Credentials presented on 15 March 1975
Vyacheslav Kochemasov#Ambassador#12 June 1983#24 May 1990#Credentials presented on 11 August 1983
Gennady Shikin#Ambassador#24 May 1990#3 October 1990#<NA>
