date#player#term
June 18, 2025#Rebecca Leslie#Two years
June 18, 2025#Taylor House#One year
July 10, 2025#Anna Meixner#One year
July 10, 2025#Samantha Isbell#One year
July 10, 2025#Logan Angers#One year
July 10, 2025#Jessica Adolfsson#One year
July 11, 2025#Stephanie Markowski#One year
July 24, 2025#Mannon McMahon#One year
July 27, 2025#Gwyneth Philips#Two years[a]
August 7, 2025#Emily Clark#Two years[a]
November 20, 2025#Alexa Vasko#One year
November 25, 2025#Gabbie Hughes#One year[a]
November 25, 2025#Ronja Savolainen#One year[b]
