player#school#pos.#yr.#ht.,_wt.#hometown_(last_school)
AJ Dybantsa†#BYU#F#Fr.#6'9", 195#Brockton, MA (Utah Prep)
Richie Saunders#BYU#G#Sr.#6'5", 200#Riverton, UT (Wasatch Academy)
Emanuel Sharp#Houston#G#R-Sr.#6'3", 205#Tampa, FL (Bishop McLaughlin School)
Joseph Tugler#Houston#F#Jr.#6'8", 230#Monroe, LA (Cypress Falls)
Milos Uzan†#Houston#G#Sr.#6'4", 195#Las Vegas, NV (Desert Pines)
Tamin Lipsey#Iowa State#G#Sr.#6'1", 200#Ames, IA (Ames)
Darryn Peterson†#Kansas#G#Fr.#6'5", 205#Canton, OH (Napa Christian)
P.J. Haggerty#Kansas State#G#Jr.#6'4", 195#Crosby, TX (Memphis)
Christian Anderson#Texas Tech#G#So.#6'9", 195#Atlanta, GA (Oak Hill Academy)
JT Toppin†#Texas Tech#F#Jr.#6'9", 230#Dallas, TX (New Mexico)
† denotes unanimous selection Reference:#† denotes unanimous selection Reference:#† denotes unanimous selection Reference:#† denotes unanimous selection Reference:#† denotes unanimous selection Reference:#† denotes unanimous selection Reference:
