date_time,_tv_regular_season#opponent_regular_season#site_(attendance)_city,_state_regular_season
November 4, 2025* 7:00 pm, ESPN+#Merchant Marine#William H. Pitt Center (966) Fairfield, CT
November 7, 2025* 7:00 pm, ESPN+#at Duquesne Villanova Challenge#UPMC Cooper Fieldhouse (2,112) Pittsburgh, PA
November 11, 2025* 7:00 pm, ESPN+#at Villanova Villanova Challenge#Finneran Pavilion (6,501) Villanova, PA
November 15, 2025* 3:00 pm, ESPN+#at Queens Villanova Challenge#Curry Arena (678) Charlotte, NC
November 21, 2025* 7:00 pm, ESPN+#Holy Cross#William H. Pitt Center (974) Fairfield, CT
November 24, 2025* 7:00 pm, NECFR#at Central Connecticut#William H. Detrick Gymnasium (2,067) New Britain, CT
November 29, 2025* 6:00 pm, Peacock#at Penn State#Bryce Jordan Center (4,703) University Park, PA
December 3, 2025 7:00 pm, ESPN+#at Mount St. Mary's#Knott Arena Emmitsburg, MD
December 7, 2025 2:00 pm, ESPN+#Iona#William H. Pitt Center Fairfield, CT
December 13, 2025* 2:00 pm, ESPN+#at NJIT#Wellness and Events Center Newark, NJ
December 16, 2025* 6:00 pm, ESPN+#at UMass Lowell#Kennedy Family Athletic Complex Lowell, MA
December 19, 2025* 11:00 am, ESPN+#Dartmouth#William H. Pitt Center Fairfield, CT
December 22, 2025* 2:00 pm#at Towson#TU Arena Towson, MD
December 29, 2025 2:00 pm, ESPN+#Merrimack#William H. Pitt Center Fairfield, CT
January 2, 2026 4:00 pm, ESPN+#at Niagara#Gallagher Center Lewiston, NY
January 4, 2026 12:00 pm, ESPN+#at Canisius#Koessler Athletic Center Buffalo, NY
January 9, 2026 7:00 pm, ESPN+#Marist#William H. Pitt Center Fairfield, CT
January 11, 2026 2:00 pm, ESPN+#Quinnipiac#William H. Pitt Center Fairfield, CT
January 14, 2026 7:00 pm, ESPN+#at Siena#MVP Arena Albany, NY
January 19, 2026 2:00 pm, ESPN+#at Rider#Alumni Gymnasium Lawrenceville, NJ
January 22, 2026 7:00 pm, ESPN+#Canisius#William H. Pitt Center Fairfield, CT
January 24, 2026 12:00 pm, ESPN+#Niagara#William H. Pitt Center Fairfield, CT
January 30, 2026 7:00 pm, ESPN+#at Quinnipiac#M&T Bank Arena Hamden, CT
February 1, 2026 TBD, ESPN+#at Merrimack#Lawler Arena North Andover, MA
February 5, 2026 7:00 pm, ESPN+#Fairfield#William H. Pitt Center Fairfield, CT
February 7, 2026 2:00 pm, ESPN+#at Manhattan#Draddy Gymnasium Riverdale, NY
February 13, 2026 7:00 pm, ESPN+#Saint Peter's#William H. Pitt Center Fairfield, CT
February 15, 2026 2:00 pm, ESPN+#Rider#William H. Pitt Center Fairfield, CT
February 20, 2026 7:00 pm, ESPN+#at Fairfield#Leo D. Mahoney Arena Fairfield, CT
February 22, 2026 2:00 pm, ESPN+#at Marist#McCann Arena Poughkeepsie, NY
February 27, 2026 7:00 pm, ESPN+#Mount St. Mary's#William H. Pitt Center Fairfield, CT
MAAC tournament#MAAC tournament#MAAC tournament
March 5–10, 2026 ESPN+#vs.#Boardwalk Hall Atlantic City, NJ
