pos_pos#class_class#no_no#team_team#drivers_drivers#chassis_engine#tyre_tyre#laps_laps#time/retired_time/retired
1#Hypercar#7#Toyota Gazoo Racing#Mike Conway  Kamui Kobayashi  Nyck de Vries#Toyota GR010 Hybrid#M#237#8:01:08.626‡
1#Hypercar#7#Toyota Gazoo Racing#Mike Conway  Kamui Kobayashi  Nyck de Vries#Toyota H8909 3.5 L Turbo V6#M#237#8:01:08.626‡
2#Hypercar#8#Toyota Gazoo Racing#Sébastien Buemi  Brendon Hartley  Ryō Hirakawa#Toyota GR010 Hybrid#M#237#+19.378
2#Hypercar#8#Toyota Gazoo Racing#Sébastien Buemi  Brendon Hartley  Ryō Hirakawa#Toyota H8909 3.5 L Turbo V6#M#237#+19.378
3#Hypercar#50#Ferrari AF Corse#Antonio Fuoco  Miguel Molina  Nicklas Nielsen#Ferrari 499P#M#237#+26.342
3#Hypercar#50#Ferrari AF Corse#Antonio Fuoco  Miguel Molina  Nicklas Nielsen#Ferrari F163 3.0 L Turbo V6#M#237#+26.342
4#Hypercar#51#Ferrari AF Corse#James Calado  Antonio Giovinazzi  Alessandro Pier Guidi#Ferrari 499P#M#237#+26.504
4#Hypercar#51#Ferrari AF Corse#James Calado  Antonio Giovinazzi  Alessandro Pier Guidi#Ferrari F163 3.0 L Turbo V6#M#237#+26.504
5#Hypercar#83#AF Corse#Phil Hanson  Robert Kubica  Yifei Ye#Ferrari 499P#M#237#+39.729
5#Hypercar#83#AF Corse#Phil Hanson  Robert Kubica  Yifei Ye#Ferrari F163 3.0 L Turbo V6#M#237#+39.729
6#Hypercar#12#Cadillac Hertz Team Jota#Alex Lynn  Norman Nato  Will Stevens#Cadillac V-Series.R#M#237#+40.527
6#Hypercar#12#Cadillac Hertz Team Jota#Alex Lynn  Norman Nato  Will Stevens#Cadillac LMC55R 5.5 L V8#M#237#+40.527
7#Hypercar#009#Aston Martin THOR Team#Roman De Angelis  Alex Riberas  Marco Sørensen#Aston Martin Valkyrie#M#237#+1:03.701
7#Hypercar#009#Aston Martin THOR Team#Roman De Angelis  Alex Riberas  Marco Sørensen#Aston Martin RA 6.5 L V12#M#237#+1:03.701
8#Hypercar#20#BMW M Team WRT#Robin Frijns  René Rast  Sheldon van der Linde#BMW M Hybrid V8#M#236#+1 Lap
8#Hypercar#20#BMW M Team WRT#Robin Frijns  René Rast  Sheldon van der Linde#BMW P66/3 4.0 L Turbo V8#M#236#+1 Lap
9#Hypercar#93#Peugeot TotalEnergies#Mikkel Jensen  Paul di Resta  Jean-Éric Vergne#Peugeot 9X8#M#236#+1 Lap
9#Hypercar#93#Peugeot TotalEnergies#Mikkel Jensen  Paul di Resta  Jean-Éric Vergne#Peugeot X6H 2.6 L Turbo V6#M#236#+1 Lap
10#Hypercar#94#Peugeot TotalEnergies#Loïc Duval  Malthe Jakobsen  Théo Pourchaire#Peugeot 9X8#M#236#+1 Lap
10#Hypercar#94#Peugeot TotalEnergies#Loïc Duval  Malthe Jakobsen  Théo Pourchaire#Peugeot X6H 2.6 L Turbo V6#M#236#+1 Lap
11#Hypercar#35#Alpine Endurance Team#Paul-Loup Chatin  Ferdinand Habsburg  Charles Milesi#Alpine A424#M#236#+1 Lap
11#Hypercar#35#Alpine Endurance Team#Paul-Loup Chatin  Ferdinand Habsburg  Charles Milesi#Alpine V634 3.4 L Turbo V6#M#236#+1 Lap
