name#number#pos.#height#weight#year#hometown#reason_for_departure
Cam Hunter#3#G#6'3"#200#Junior#Bryant, AR#Transferred to Central Arkansas
Kamari McGee#4#G#6'0"#180#Senior#Racine, WI#Graduated
Daniel Freitag#5#G#6'3"#195#Freshman#Bloomington, MN#Transferred to Buffalo
Carter Gilmore#7#F#6'7"#232#Graduate Student#Hartland, WI#Graduated
John Tonje#9#G#6'6"#215#Graduate Student#North Omaha, NE#Graduated/2025 NBA Draft; Selected 53th overall by Utah Jazz
Max Klesmit#11#G#6'4"#200#Graduate Student#Neenah, WI#Graduated
Xavier Amos#13#F#6'8"#215#Junior#Chicago, IL#Transferred to Loyola Chicago
Aidan Konop#14#G#6'2"#195#Freshman#Sussex, WI#Walk-on; Transferred/Not retained
Chris Hodges#21#F#6'9"#250#Junior#Schaumburg, IL#Transferred to Montana State
Steven Crowl#22#C#7'0"#247#Graduate Student#Eagan, MN#Graduated
Markus Ilver#35#F#6'9"#225#Senior#Tallinn, Estonia#Graduated
