name#title#appointment#termination#notes
Aleksey Ustinov [ru]#Plenipotentiary Representative#7 May 1924#3 November 1929#Credentials presented on 10 June 1924
Vladimir Potemkin#Plenipotentiary Representative#3 November 1929#26 September 1932#Credentials presented on 18 November 1929
Yakov Davydov#Plenipotentiary Representative#27 September 1932#20 March 1934#Credentials presented on 28 October 1932
Mikhail Kobetsky#Plenipotentiary Representative#28 April 1934#28 April 1937#Credentials presented on 26 May 1934
Alexander Barmine#Chargé d'affaires#1937#18 July 1937#<NA>
Nikolai Sharonov#Plenipotentiary Representative#18 July 1937#31 May 1939#Credentials presented on 20 October 1937
Mikhail Sergeyev [ru]#Chargé d'affaires#1939#3 June 1941#<NA>
Aleksandr Bogomolov [ru]#Envoy before 14 April 1943 Ambassador after 14 April 1943#3 September 1941#12 November 1943#None
Nikolai Novikov#Ambassador#12 November 1943#11 December 1945#To the Greek government-in-exile in Cairo concurrently as ambassador to Egypt Credentials presented on 9 December 1943
Konstantin Rodionov [ru]#Ambassador#11 December 1945#5 September 1947#Credentials presented on 3 January 1946
Mikhail Sergeyev [ru]#Ambassador#23 July 1953#5 January 1962#Credentials presented on 19 September 1953
Nikolai Koryukin [ru]#Ambassador#5 January 1962#31 May 1968#Credentials presented on 8 March 1962
Kliment Lyovychkin [ru]#Ambassador#31 May 1968#1 March 1973#Credentials presented on 4 September 1968
Igor Yezhov [ru]#Ambassador#1 March 1973#12 March 1976#Credentials presented on 14 May 1973
Ivan Udaltsov [ru]#Ambassador#12 March 1976#11 September 1979#Credentials presented on 13 April 1976
Vladimir Kaboshkin [ru]#Ambassador#11 September 1979#1 September 1984#Credentials presented on 18 September 1979
Igor Andropov [ru]#Ambassador#1 September 1984#31 January 1986#Credentials presented on 22 October 1984
Viktor Stukalin [ru]#Ambassador#31 January 1986#30 May 1988#<NA>
Anatoly Slyusar [ru]#Ambassador#30 May 1988#25 December 1991#<NA>
