country/territory#contestant#age[d]#hometown
Angola#Maria Cunha#22#Luanda
Argentina#Aldana Masset#25#Valle María
Armenia#Peggy Garabekian#30#Los Angeles
Aruba#Hannah Arends#28#Savaneta
Australia#Lexie Brant#21#Brisbane
Bahamas#Maliqué Bowe#25#Grand Bahama
Bangladesh#Tangia Methila#33#Dhaka
Belarus#Alena Kucheruk#18#Agrotown
Belgium#Karen Jansen#24#Lommel
Belize#Isabella Zabaneh#21#Independence
Bolivia#Yessica Hausermann#25#Magdalena
Bonaire#Nicole Peiliker#42#Kralendijk
Botswana#Lillian Andries#31#Ramotswa
Brazil#Gabriela Lacerda#24#Teresina
British Virgin Islands#Olivia Freeman#22#Paraquita Bay
Bulgaria#Gaby Guha#26#Marseille
Cambodia#Nearysocheata Thai#30#Phnom Penh
Canada#Jaime VandenBerg#29#Coaldale
Cape Verde#Prissy Gomes#32#Tarrafal
Cayman Islands#Tahiti Seymour#22#Bodden Town
Chile#Inna Moll#28#Vitacura
China#Na Zhao#20#Shandong
Colombia#Vanessa Pulgarín#34#Medellín
Costa Rica#Mahyla Roth#26#Cahuita
Côte d'Ivoire#Olivia Yacé#27#Yamoussoukro
Croatia#Laura Gnjatović#23#Zadar
Cuba#Lina Luaces#23#Miami
Curaçao#Camille Thomas#26#Willemstad
Czech Republic#Michaela Tomanová#27#Prague
Democratic Republic of the Congo#Dorcas Dienda#31#Kinshasa
Denmark#Monique Sonne#21#Copenhagen
Dominican Republic#Jennifer Ventura#27#Barahona
Ecuador#Nadia Mejía#29#Diamond Bar
Egypt#Sabrina Maged#23#Chișinău
El Salvador#Giulia Zanoni#20#La Unión
Equatorial Guinea#Carmen Obama#19#Mongomo
Estonia#Brigitta Schaback#28#Tallinn
Finland#Sarah Dzafce#22#Helsinki
France#Ève Gilles#22#Quaëdypre
Ghana#Andromeda Peters#37#Springfield
Great Britain#Danielle Latimer#37#Barry
Greece#Mary Chatzipavlou#31#Elefsina
Guadeloupe#Ophély Mézino#26#Morne-à-l'Eau
Guatemala#Raschel Paz#25#Guatemala City
Guinea#Tiguidanké Bérété#24#Conakry
Guyana#Chandini Baljor#23#Georgetown
Haiti#Melissa Sapini#22#North Attleboro
Honduras#Alejandra Fuentes#31#Olancho
Hong Kong#Lizzie Li#27#Hong Kong
Hungary#Kincső Dezsényi#22#Budapest
