issue_date#song#artist(s)
6 January#"Riptide"#Vance Joy
13 January#"Riptide"#Vance Joy
20 January#"Riptide"#Vance Joy
27 January#"Riptide"#Vance Joy
3 February#"Riptide"#Vance Joy
10 February#"Riptide"#Vance Joy
17 February#"Dreamin"#Dom Dolla & Daya
24 February#"Dreamin"#Dom Dolla & Daya
3 March#"Riptide"#Vance Joy
10 March#"Riptide"#Vance Joy
17 March#"Riptide"#Vance Joy
24 March#"Riptide"#Vance Joy
31 March#"Riptide"#Vance Joy
7 April#"Riptide"#Vance Joy
14 April#"Riptide"#Vance Joy
21 April#"Riptide"#Vance Joy
28 April#"Riptide"#Vance Joy
5 May#"Riptide"#Vance Joy
12 May#"Riptide"#Vance Joy
19 May#"Riptide"#Vance Joy
26 May#"Riptide"#Vance Joy
2 June#"Riptide"#Vance Joy
9 June#"Riptide"#Vance Joy
16 June#"Don't Dream It's Over"#Crowded House
23 June#"Don't Dream It's Over"#Crowded House
30 June#"Don't Dream It's Over"#Crowded House
7 July#"Don't Dream It's Over"#Crowded House
14 July#"Don't Dream It's Over"#Crowded House
21 July#"Don't Dream It's Over"#Crowded House
28 July#"Don't Dream It's Over"#Crowded House
4 August#"Don't Dream It's Over"#Crowded House
11 August#"Don't Dream It's Over"#Crowded House
18 August#"Don't Dream It's Over"#Crowded House
25 August#"Don't Dream It's Over"#Crowded House
1 September#"Don't Dream It's Over"#Crowded House
8 September#"Dancing2"#Keli Holiday
15 September#"A Cold Play"#The Kid Laroi
22 September#"A Cold Play"#The Kid Laroi
29 September#"A Cold Play"#The Kid Laroi
6 October#"A Cold Play"#The Kid Laroi
13 October#"A Cold Play"#The Kid Laroi
20 October#"Dracula"#Tame Impala
27 October#"Dracula"#Tame Impala
3 November#"Dracula"#Tame Impala
10 November#"Dracula"#Tame Impala
17 November#"Dracula"#Tame Impala
24 November#"Dracula"#Tame Impala
1 December#"Dracula"#Tame Impala
8 December#"Dracula"#Tame Impala
15 December#"Dracula"#Tame Impala
