ministry#name#term
Interior#Oscar Bonilla Bradanovic#12 September 1973 – 11 July 1974
Interior#César Benavides#11 July 1974 – 14 April 1978
Interior#Sergio Fernández Fernández#14 April 1978 – 22 April 1982
Interior#Enrique Montero Marx#22 April 1982 – 10 August 1983
Interior#Sergio Onofre Jarpa#10 August 1983 – 12 February 1985
Interior#Ricardo García Rodríguez#12 February 1985 – 8 July 1987
Interior#Sergio Fernández Fernández#8 July 1987 – 21 October 1988
Interior#Carlos Cáceres Contreras#21 October 1988 – 11 March 1990
Foreign Affairs#Ismael Huerta#12 September 1973 – 11 July 1974
Foreign Affairs#Patricio Carvajal#11 July 1974 – 14 April 1978
Foreign Affairs#Hernán Cubillos#14 April 1978 – 29 March 1980
Foreign Affairs#René Rojas Galdames#29 March 1980 – 14 February 1983
Foreign Affairs#Miguel Schweitzer Walters#14 February 1983 – 19 December 1983
Foreign Affairs#Jaime del Valle#19 December 1983 – 8 July 1987
Foreign Affairs#Ricardo García Rodríguez#8 July 1987 – 21 November 1988
Foreign Affairs#Hernán Felipe Errázuriz#21 November 1988 – 11 March 1990
General Secretariat of Government#Pedro Ewing#12 September 1973 – 11 July 1974
General Secretariat of Government#Hernán Béjares#11 July 1974 – 15 November 1977
General Secretariat of Government#René Vidal Basauri#15 November 1977 – 27 January 1979
General Secretariat of Government#Julio Fernández Atienza#27 January 1979 – 14 December 1979
General Secretariat of Government#Sergio Badiola#14 December 1979 – 20 October 1980
General Secretariat of Government#René Vidal Basauri#20 October 1980 – 29 December 1980
General Secretariat of Government#Julio Bravo Valdés#29 December 1980 – 30 August 1982
General Secretariat of Government#Hernán Felipe Errázuriz#30 August 1982 – 14 February 1983
General Secretariat of Government#Ramón Suárez González#14 February 1983 – 10 August 1983
General Secretariat of Government#Alfonso Márquez de la Plata#10 August 1983 – 6 November 1984
General Secretariat of Government#Francisco Javier Cuadra#6 November 1984 – 8 July 1987
General Secretariat of Government#Orlando Poblete Iturrate#8 July 1987 – 21 October 1988
General Secretariat of Government#Miguel Ángel Poduje#21 October 1988 – 5 April 1989
General Secretariat of Government#Óscar Vargas Guzmán#5 April 1989 – 17 August 1989
General Secretariat of Government#Cristián Labbé Galilea#17 August 1989 – 11 March 1990
Presidential Chief of Staff#Sergio Covarrubias#1974–1979
Presidential Chief of Staff#René Escauriaza#1979 – 16 October 1979
Presidential Chief of Staff#Santiago Sinclair#17 October 1979 – 6 December 1985
Presidential Chief of Staff#Sergio Valenzuela Ramírez#6 December 1985 – 15 November 1988
