ep._ep.#original_broadcast_date_original_broadcast_date#average_audience_share_(nielsen_korea)[12]_nationwide#average_audience_share_(nielsen_korea)[12]_seoul
1#December 6, 2025#2.721% (1st)#2.946% (1st)
2#December 7, 2025#3.295% (1st)#3.609% (1st)
3#December 13, 2025#3.063% (1st)#3.091% (1st)
4#December 14, 2025#3.888% (1st)#3.696% (1st)
5#December 20, 2025#3.270% (3rd)#2.999% (1st)
6#December 21, 2025#3.425% (2nd)#3.027% (1st)
7#December 27, 2025#3.259% (3rd)#3.515% (1st)
8#December 28, 2025#4.150% (1st)#4.351% (1st)
9#January 3, 2026#3.266% (1st)#2.965% (1st)
10#January 4, 2026#3.793% (1st)#3.956% (1st)
11#January 10, 2026#<NA>#<NA>
12#January 11, 2026#<NA>#<NA>
Average#Average#<NA>#<NA>
