pos#nr#rijder#constructeur#rondes#tijd#grid#punten
1#62#Stefano Manzi#Yamaha#18#29:25.133#8.0#25.0
2#69#Tom Booth-Amos#Triumph#18#+0.322#2.0#20.0
3#23#Marcel Schrötter#Ducati#18#+0.480#9.0#16.0
4#11#Bo Bendsneyder#MV Agusta#18#+1.447#1.0#13.0
5#61#Can Öncü#Yamaha#18#+2.513#4.0#11.0
6#51#Jaume Masiá#Ducati#18#+3.527#6.0#10.0
7#32#Oliver Bayliss#Triumph#18#+4.280#7.0#9.0
8#53#Valentin Debise#Ducati#18#+4.281#5.0#8.0
9#94#Lucas Mahias#Yamaha#18#+4.528#3.0#7.0
10#52#Jeremy Alcoba#Kawasaki#18#+13.690#15.0#6.0
11#5#Niccolò Antonelli#Yamaha#18#+20.193#13.0#5.0
12#68#Luke Power#MV Agusta#18#+26.392#17.0#4.0
13#50#Ondřej Vostatek#Ducati#18#+28.391#16.0#3.0
14#27#Kaito Toba#Honda#18#+41.019#22.0#2.0
15#43#Simon Jespersen#Ducati#18#+45.844#18.0#1.0
16#4#Loïc Arbel#MV Agusta#18#+46.714#20.0#<NA>
17#63#Syarifuddin Azman#Honda#17#+1 ronde#21.0#<NA>
DNF#20#Xavier Cardelús#Ducati#8#Uitgevallen#11.0#<NA>
DNF#21#Michael Ruben Rinaldi#Yamaha#6#Technisch#10.0#<NA>
DNF#29#Harrison Voight#Ducati#3#Ongeluk#23.0#<NA>
DNF#7#Loris Veneman#Ducati#3#Ongeluk#19.0#<NA>
DNF#57#Aldi Mahendra#Yamaha#0#Ongeluk#14.0#<NA>
DNF#24#Leonardo Taccini#Ducati#0#Ongeluk#12.0#<NA>
WD#77#Filippo Farioli#MV Agusta#0#Blessure#<NA>#<NA>
