stad#stadsrechten_sinds#in_gemeente#inwoners_in_2011#inwoners_in_2022
Ādaži#2022#Ādažu novads#5.773#7.482
Ainaži#1926#Limbažu novads#833.0#701
Aizkraukle#1967#Aizkraukles novads#7.897#7.198
Aizpute#1378#Dienvidkurzemes novads#5.068#4.128
Aknīste#1991#Jēkabpils novads#1.138#995
Aloja#1992#Limbažu novads#1.352#1.073
Alūksne#1920#Aluksnes novads#8.057#6.945
Ape#1928#Smiltenes novads#983.0#832
Auce#1924#Dobeles novads#3.046#2.360
Baldone#1991#Ķekavas novads#3.897#3.789
Baloži#1991#Kekavas novads#6.015#6.992
Balvi#1928#Balvu novads#7.176#6.103
Bauska#1609#Bauskas novads#9.508#10.202
Brocēni#1992#Saldus novads#3.376#3.009
Cēsis#1323#Cesu novads#16.764#16.190
Cesvaine#1991#Madonas novads#1.574#1.280
Dagda#1992#Krāslavas novads#2.382#1.887
Daugavpils#1582#stadsgemeente#93.213#86.872
Dobele#1917#Dobeles novads#11.066#9.031
Durbe#1893#Dienvidkurzemes novads#552.0#520
Grobina#1695#Dienvidkurzemes novads#3.911#3.778
Gulbene#1928#Gulbenes novads#8.314#7.171
Iecava#2021#Bauskas novads#5.921#5.677
Ikšķile#1992#Ogres novads#3.806#7.698
Ilukste#1917#Augšdaugavas novads#2.555#2.312
Jaunjelgava#1647#Aizkraukles novads#2.245#1.825
Jekabpils#1670#Jēkabpils novads (stadsgemeente)#25.883#22.134
Jelgava#1573#stadsgemeente#59.511#58.154
Jurmala#1959#stadsgemeente#56.06#56.862
Kandava#1917#Tukuma novads#2.231#3.501
Karsava#1928#Ludzas novads#2.57#1.970
Koknese#2021#Aizkraukles novads#2.716#2.562
Krāslava#1923#Kraslavas novads#9.112#7.771
Kuldiga#1378#Kuldigas novads#11.761#10 395
Ķegums#1993#Ogres novads#2.279#2.147
Ķekava#2022#Ķekavas novads#5.192#5.190
Lielvārde#1992#Ogres novads#6.241#6.085
Liepāja#1625#stadsgemeente#76.737#73.333
Līgatne#1993#Cēsu novads#1.142#1.092
Limbaži#1385#Limbažu novads#8.406#7.059
Līvāni#1926#Livanu novads#8.189#7.388
Lubāna#1992#Madonas novads#1.728#1.555
Ludza#1777#Ludzas novads#9.043#7.767
Madona#1926#Madonas novads#7.99#7.129
Mazsalaca#1928#Valmieras novads#1.301#1.143
Mārupe#2022#Mārupes novads#9.541#17.796
Ogre#1928#Ogres novads (stadsgemeente)#24.84#24.075
Olaine#1967#Olaines novads#12.023#10.475
Pāvilosta#1991#Dienvidkurzemes novads#1.026#850
Piltene#1557#Ventspils novads#1.053#877
