date_regular_season#time_regular_season#opponent_regular_season#rank_regular_season#site_regular_season#tv_regular_season
October 3#9:00 pm#at Colorado College*#10#Ed Robson Arena • Colorado Springs, Colorado#SOCO CW
October 4#8:00 pm#at Colorado College*#10#Ed Robson Arena • Colorado Springs, Colorado#<NA>
October 17#7:00 pm#16 Ohio State*#12#Toscano Family Ice Forum • Storrs, Connecticut#ESPN+
October 18#4:00 pm#16 Ohio State*#12#PeoplesBank Arena • Hartford, Connecticut#ESPN+
October 24#7:00 pm#4 Boston University#11#Agganis Arena • Boston, Massachusetts#ESPN+
October 25#5:00 pm#4 Boston University#11#Toscano Family Ice Forum • Storrs, Connecticut#ESPN+
October 31#7:00 pm#Harvard*#9#Toscano Family Ice Forum • Storrs, Connecticut#ESPN+
November 1#7:00 pm#Merrimack#9#Toscano Family Ice Forum • Storrs, Connecticut#ESPN+
November 7#<NA>#Providence#<NA>#Toscano Family Ice Forum • Storrs, Connecticut#ESPN+
November 8#7:00 pm#at Providence#<NA>#Schneider Arena • Providence, Rhode Island#ESPN+
November 14#7:00 pm#Northeastern#<NA>#Toscano Family Ice Forum • Storrs, Connecticut#ESPN+
November 15#7:30 pm#at Northeastern#<NA>#Matthews Arena • Boston, Massachusetts#ESPN+
November 21#7:00 pm#at New Hampshire#<NA>#Whittemore Center • Durham, New Hampshire#ESPN+
November 22#<NA>#New Hampshire#<NA>#Toscano Family Ice Forum • Storrs, Connecticut#ESPN+
November 25#7:00 pm#Stonehill*#<NA>#PeoplesBank Arena • Hartford, Connecticut#ESPN+
December 5#7:00 pm#at Merrimack#<NA>#J. Thom Lawler Rink • North Andover, Massachusetts#ESPN+
December 6#4:00 pm#Merrimack#<NA>#Toscano Family Ice Forum • Storrs, Connecticut#ESPN+
December 31#3:00 pm#Long Island*#<NA>#Toscano Family Ice Forum • Storrs, Connecticut#ESPN+
January 3#2:00 pm#at Long Island*#<NA>#Northwell Health Ice Center • East Meadow, New York#ESPN+
January 9#7:00 pm#Massachusetts Lowell#<NA>#PeoplesBank Arena • Hartford, Connecticut#ESPN+
January 10#6:05 pm#at Massachusetts Lowell#<NA>#Tsongas Center • Lowell, Massachusetts#ESPN+
January 16#7:00 pm#Vermont#<NA>#Toscano Family Ice Forum • Storrs, Connecticut#ESPN+
January 17#4:00 pm#Vermont#<NA>#Toscano Family Ice Forum • Storrs, Connecticut#ESPN+
Connecticut Ice#Connecticut Ice#Connecticut Ice#Connecticut Ice#Connecticut Ice#Connecticut Ice
January 23#7:30 pm#at Yale*#<NA>#Ingalls Rink • New Haven, Connecticut (Connecticut Ice Semifinal)#<NA>
January 24#TBD#Quinnipiac / Sacred Heart*#<NA>#Ingalls Rink • New Haven, Connecticut (Connecticut Ice)#<NA>
