year_and_location#k/hs#gold#silver#bronze
1977, Sainte-Croix#K-87#Pavel Fízek [pl]#Matthias Buse#Hubert Neuper
1979, Mont-Sainte-Anne#K-89#Horst Bulau#Ulrich Pscherra [pl]#Hiroyasu Aizawa
1980, Örnsköldsvik#K-70#Steve Collins#Vladimir Boyarintsev [pl]#Andreas Felder
1981, Schonach im Schwarzwald#K-80#Matti Nykänen#Ernst Vettori#Steve Collins
1982, Murau#K-70#Ernst Vettori#Markku Pusenius#Bernhard Zauner [pl]
1983, Kuopio#K-80#Franz Wiegele#Ole Christian Eidhammer#Tuomo Ylipulli
1984, Trondheim#K-78#Martin Švagerko#Janez Štirn [pl]#Miroslav Polák [pl]
1985, Täsch#K-77#Werner Haim#Juha Karjalainen [pl]#Günther Stranner
1986, Lake Placid#K-86#Virginio Lunardi#Christian Rimmel [pl]#Clas Brede Bråthen
1987, Asiago#K-92#Ari-Pekka Nikkola#Mike Arnold [pl]#Dieter Thoma
1988, Saalfelden#K-85#Heinz Kuttin#Staffan Tällberg#Markus Steiner [pl]
1989, Hamar#K-84#Kent Johanssen#Andreas Rauschmeier#Staffan Tällberg
1990, Štrbské Pleso#K-88#Heinz Kuttin#Roberto Cecon#Tomáš Raszka [pl]
1991, Reit im Winkl#K-90#Martin Höllwarth#Tomáš Goder#Damjan Fras
1992, Vuokatti#K-81#Toni Nieminen#Sylvain Freiholz#Martin Höllwarth
1993, Harrachov#K-90#Janne Ahonen#Andreas Widhölzl#Alexander Herr
1994, Breitenwang#K-85#Janne Ahonen#Nicolas Dessum#Zbyněk Krompolc
1995, Gällivare#K-90#Tommy Ingebrigtsen#Reinhard Schwarzenberger#Lucas Chevalier-Girod [pl]
1996, Asiago#K-92#Michael Uhrmann#Primož Peterka#Andreas Küttel
1997, Calgary#K-89#Wilhelm Brenna#Jussi Hautamäki#Falko Krismayr
1998, Sankt Moritz#K-95#Wolfgang Loitzl#Kazuhiro Nakamura#Matti Hautamäki
1999, Saalfelden#K-85#Kazuki Nishishita#Michal Pšenko#Stefan Kaiser
2001, Karpacz#K-85#Veli-Matti Lindström#Manuel Fettner#Florian Liegl
2002, Schonach#K-90#Janne Happonen#Daiki Ito#Kalle Keituri
2003, Sollefteå#K-107#Thomas Morgenstern#Rok Benkovič#Jan Mazoch
2004, Stryn#K-90#Mateusz Rutkowski#Thomas Morgenstern#Olli Pekkala [pl]
2005, Rovaniemi#K-90 HS 100#Joonas Ikonen [pl]#Arthur Pauli#Jurij Tepeš
2006, Kranj#K-100 HS 109#Gregor Schlierenzauer#Jurij Tepeš#Andrea Morassi
2007, Planica#K-90 HS 100#Roman Koudelka#Shōhei Tochimoto#Thomas Thurnbichler [pl]
2008, Zakopane#K-85 HS 94#Andreas Wank#Shōhei Tochimoto#Andreas Strolz [pl]
2009, Štrbské Pleso#K-90 HS 100#Lukas Müller#Maciej Kot#Ville Larinto
2010, Hinterzarten#K-95 HS 106#Michael Hayböck#Peter Prevc#Diego Dellasega [pl]
2011, Otepää#K-90 HS 100#Vladimir Zografski#Stefan Kraft#Kaarel Nurmsalu
2012, Erzurum#K-95 HS 109#Nejc Dežman#Jaka Hvala Aleksander Zniszczoł#<NA>
2013, Liberec#K-90 HS 100#Jaka Hvala#Klemens Murańka#Stefan Kraft
