no.#title#directed_by#written_by#original_release_date
1#"Blue Skies"#Sam Hargrave#Jon Bokenkamp & Richard D'Ovidio#October 10, 2025
2#"Winds of Change"#John Curran#Melissa Glenn#October 10, 2025
3#"Country as F*ck"#Sam Hargrave#Akela Cooper#October 17, 2025
4#"American Dream"#John Curran#Kelli Johnson#October 24, 2025
5#"Arnaq"#John Curran#Glenn Kessler#October 31, 2025
6#<NA>#<NA>#Melissa Glenn#November 7, 2025
7#<NA>#<NA>#Albert Kim#November 14, 2025
8#<NA>#<NA>#Ryan Cruise#November 21, 2025
9#<NA>#<NA>#Albert Kim#November 28, 2025
10#<NA>#<NA>#Jon Bokenkamp & Richard D'Ovidio#December 5, 2025
