rank#nation#gold#silver#bronze#total
1#Brazil (BRA)#4#4#3#11
2#Israel (ISR)#2#0#2#4
3#France (FRA)#1#4#3#8
4#Italy (ITA)#1#1#2#4
5#Canada (CAN)#1#1#1#3
6#Czech Republic (CZE)#1#0#2#3
7#Slovenia (SLO)#1#0#1#2
8#Chile (CHI)#1#0#0#1
8#Serbia (SRB)#1#0#0#1
8#Sweden (SWE)#1#0#0#1
11#Azerbaijan (AZE)#0#2#5#7
12#Estonia (EST)#0#1#0#1
12#United States (USA)#0#1#0#1
14#Germany (GER)#0#0#2#2
14#Switzerland (SUI)#0#0#2#2
16#Belgium (BEL)#0#0#1#1
16#Colombia (COL)#0#0#1#1
16#Ecuador (ECU)#0#0#1#1
16#Peru (PER)*#0#0#1#1
16#Ukraine (UKR)#0#0#1#1
Totals (20 entries)#Totals (20 entries)#14#14#28#56
