fin#st##driver#team#make#laps#led#status#pts
1#5#21#Austin Hill (OP)#Richard Childress Racing#Chevrolet#100#48#Running#60
2#4#1#Carson Kvapil (P) (R)#JR Motorsports#Chevrolet#100#0#Running#45
3#8#7#Justin Allgaier (P)#JR Motorsports#Chevrolet#100#11#Running#52
4#3#16#Christian Eckes (R)#Kaulig Racing#Chevrolet#100#0#Running#40
5#25#5#Caesar Bacarella#Alpha Prime Racing#Chevrolet#100#0#Running#32
6#14#31#Blaine Perkins#Jordan Anderson Racing#Chevrolet#100#0#Running#35
7#24#4#Parker Retzlaff#Alpha Prime Racing#Chevrolet#100#0#Running#30
8#29#70#Leland Honeyman#Cope Family Racing#Chevrolet#100#0#Running#29
9#11#8#Sammy Smith (P)#JR Motorsports#Chevrolet#100#0#Running#36
10#1#2#Jesse Love (P)#Richard Childress Racing#Chevrolet#100#19#Running#40
11#28#07#Nick Leitz#SS-Green Light Racing#Chevrolet#100#0#Running#26
12#33#14#Garrett Smithley#SS-Green Light Racing#Chevrolet#100#0#Running#25
13#30#25#Harrison Burton#AM Racing#Ford#100#1#Running#24
14#31#45#Josh Williams#Alpha Prime Racing#Chevrolet#100#0#Running#24
15#35#28#Kyle Sieg#RSS Racing#Ford#100#0#Running#22
16#36#53#Joey Gase#Joey Gase Motorsports#Chevrolet#100#0#Running#21
17#6#27#Jeb Burton#Jordan Anderson Racing#Chevrolet#100#0#Running#21
18#32#35#David Starr#Joey Gase Motorsports#Chevrolet#100#0#Running#19
19#34#44#Brennan Poole#Alpha Prime Racing#Chevrolet#100#0#Running#18
20#20#48#Nick Sanchez (R)#Big Machine Racing#Chevrolet#100#6#Running#23
21#37#74#Carson Ware#Mike Harmon Racing#Chevrolet#100#0#Running#16
22#19#91#Mason Maggio#DGM Racing#Chevrolet#99#0#Running#15
23#7#88#Connor Zilisch (P) (R)#JR Motorsports#Chevrolet#97#1#Running#21
24#9#19#Aric Almirola (OP)#Joe Gibbs Racing#Toyota#92#4#Accident#23
25#15#10#Daniel Dye (R)#Kaulig Racing#Chevrolet#92#4#Accident#14
26#10#20#Brandon Jones (P)#Joe Gibbs Racing#Toyota#84#0#Running#11
27#22#71#Ryan Ellis#DGM Racing#Chevrolet#49#0#Radiator#10
28#18#99#Connor Mosack (i)#Viking Motorsports#Chevrolet#44#0#Accident#0
29#17#26#Dean Thompson (R)#Sam Hunt Racing#Toyota#44#4#Accident#11
30#2#18#William Sawalich (R)#Joe Gibbs Racing#Toyota#44#2#Accident#8
31#38#54#Taylor Gray (R)#Joe Gibbs Racing#Toyota#41#0#Rear Gear#6
32#26#32#Jordan Anderson#Jordan Anderson Racing#Chevrolet#19#0#Accident#5
