ep._ep._ep.#original_broadcast_date_original_broadcast_date_original_broadcast_date#average_audience_share_nielsen_korea[6]_nationwide#average_audience_share_nielsen_korea[6]_seoul
1#October 13, 2025#10.5%% (1st)#9.6%% (1st)
2#October 14, 2025#8.5% (1st)#7.1% (1st)
3#October 15, 2025#9.7% (1st)#8.7% (1st)
4#October 16, 2025#10.0% (1st)#8.5% (1st)
5#October 17, 2025#10.0% (1st)#8.6% (1st)
6#October 20, 2025#9.2% (1st)#7.8% (1st)
7#October 21, 2025#7.1% (2nd)#6.5% (3rd)
8#October 22, 2025#8.6% (2nd)#7.3% (3rd)
9#October 23, 2025#9.6% (1st)#8.5% (1st)
10#October 24, 2025#8.6% (2nd)#8.0% (2nd)
11#October 27, 2025#9.0% (1st)#7.3% (2nd)
12#October 28, 2025#8.8% (1st)#7.5% (1st)
13#October 29, 2025#8.8% (2nd)#7.4% (2nd)
14#October 30, 2025#7.6% (2nd)#5.9% (2nd)
15#October 31, 2025#<NA>#<NA>
Average#Average#<NA>#<NA>
In the table above, the blue numbers represent the lowest ratings and the red numbers represent the highest ratings.#In the table above, the blue numbers represent the lowest ratings and the red numbers represent the highest ratings.#In the table above, the blue numbers represent the lowest ratings and the red numbers represent the highest ratings.#In the table above, the blue numbers represent the lowest ratings and the red numbers represent the highest ratings.
