most_intense_landfalling_atlantic_hurricanes_intensity_is_measured_solely_by_central_pressure_rank#most_intense_landfalling_atlantic_hurricanes_intensity_is_measured_solely_by_central_pressure_hurricane[nb_1]#most_intense_landfalling_atlantic_hurricanes_intensity_is_measured_solely_by_central_pressure_season#most_intense_landfalling_atlantic_hurricanes_intensity_is_measured_solely_by_central_pressure_landfall_pressure
1#"Labor Day"#1935#892 mbar (hPa)
1#Melissa#2025#892 mbar (hPa)
3#Camille#1969#900 mbar (hPa)
3#Gilbert#1988#900 mbar (hPa)
5#Dean#2007#905 mbar (hPa)
6#"Cuba"#1924#910 mbar (hPa)
6#Dorian#2019#910 mbar (hPa)
8#Janet#1955#914 mbar (hPa)
8#Irma#2017#914 mbar (hPa)
10#"Cuba"#1932#918 mbar (hPa)
Sources: HURDAT,[26] AOML/HRD,[27] NHC#Sources: HURDAT,[26] AOML/HRD,[27] NHC#Sources: HURDAT,[26] AOML/HRD,[27] NHC#Sources: HURDAT,[26] AOML/HRD,[27] NHC
