date_regular_season#time_regular_season#opponent_regular_season#site_regular_season#tv_regular_season
October 3#7:05 pm#Ferris State*#Steve Cady Arena • Oxford, Ohio#RESN
October 4#6:05 pm#Ferris State*#Steve Cady Arena • Oxford, Ohio#RESN
October 10#7:00 pm#at Rensselaer*#Houston Field House • Troy, New York#ESPN+, SNY
October 11#6:00 pm#at Rensselaer*#Houston Field House • Troy, New York#ESPN+
October 24#8:10 pm#at Lindenwood*#Centene Community Ice Center • St. Charles, Missouri#<NA>
October 25#8:10 pm#at Lindenwood*#Centene Community Ice Center • St. Charles, Missouri#<NA>
October 31#7:05 pm#Arizona State#Steve Cady Arena • Oxford, Ohio#RESN
November 1#6:05 pm#Arizona State#Steve Cady Arena • Oxford, Ohio#RESN
November 14#7:00 pm#at Western Michigan#Lawson Arena • Kalamazoo, Michigan#<NA>
November 15#6:00 pm#at Western Michigan#Lawson Arena • Kalamazoo, Michigan#<NA>
November 21#7:05 pm#St. Cloud State#Steve Cady Arena • Oxford, Ohio#RESN
November 22#6:05 pm#St. Cloud State#Steve Cady Arena • Oxford, Ohio#RESN
Friendship Four#Friendship Four#Friendship Four#Friendship Four#Friendship Four
November 28#2:00 pm#vs. RIT*#SSE Arena Belfast • Belfast, Northern Ireland (Friendship Four Semifinal)#<NA>
November 29#TBD#vs. Sacred Heart / Union*#SSE Arena Belfast • Belfast, Northern Ireland (Friendship Four)#<NA>
December 5#9:00 pm#at Denver#Magness Arena • Denver, Colorado#<NA>
December 6#8:00 pm#at Denver#Magness Arena • Denver, Colorado#<NA>
December 12#7:05 pm#Colorado College#Steve Cady Arena • Oxford, Ohio#RESN
December 13#6:05 pm#Colorado College#Steve Cady Arena • Oxford, Ohio#RESN
Great Lakes Invitational#Great Lakes Invitational#Great Lakes Invitational#Great Lakes Invitational#Great Lakes Invitational
December 28#3:37 pm#vs. Michigan Tech*#Van Andel Arena • Grand Rapids, Michigan (Great Lakes Semifinal)#Midco Sports+
December 29#TBD#vs. Ferris State / Michigan State*#Van Andel Arena • Grand Rapids, Michigan (Great Lakes)#Midco Sports+
January 9#9:00 pm#at Arizona State#Mullett Arena • Tempe, Arizona#<NA>
January 10#7:00 pm#at Arizona State#Mullett Arena • Tempe, Arizona#<NA>
January 16#7:05 pm#Omaha#Steve Cady Arena • Oxford, Ohio#RESN
January 17#6:05 pm#Omaha#Steve Cady Arena • Oxford, Ohio#RESN
January 30#8:00 pm#at St. Cloud State#Herb Brooks National Hockey Center • St. Cloud, Minnesota#The CW
January 31#7:00 pm#at St. Cloud State#Herb Brooks National Hockey Center • St. Cloud, Minnesota#The CW
