english#cantonese#year_since[a]
BLAIR, Tony#貝理雅#PM, 1997
BROWN, Gordon#白高敦#PM, 2007
MAY, Theresa#文翠珊#PM, 2016
MAJOR, John#馬卓安#PM, 1990
STARMER, Keir#施紀賢#PM, 2024
SUNAK, Rishi#辛偉誠#PM, 2022
THATCHER, Margaret (Mrs.)#戴卓爾夫人#PM, 1979
TRUSS, Liz#卓慧思#PM, 2022
ADONIS, Andrew#艾德思#Cabinet, 2009
ALEXANDER, Douglas#艾禮遜#Cabinet, 2003
ALEXANDER, Danny#艾德禮#Cabinet, 2010
ALEXANDER, Heidi#艾凱迪#Cabinet, 2024
ARGAR, Edward#晏嘉華#Cabinet, 2022
ARMSTRONG, Hilary#艾希妮#Cabinet, 2001
ASHTON, Catherine#艾嘉蓮#Cabinet, 2007
ATKINS, Victoria#顏詠彤#Cabinet, 2023
BADENOCH, Kemi#栢丹娜#Cabinet, 2022
BALLS, Ed#博雅文#Cabinet, 2007
BARCLAY, Steve#柏建熙#Cabinet, 2018
BECKETT, Margaret#貝嘉晴#Cabinet, 1997
BENN, Hilary#彭浩禮#Cabinet, 2003
BERRY, Jake#包澤君#Cabinet, 2019
BLEARS, Hazel#貝海珊#Cabinet, 2006
BLUNKETT, David#白文傑#Cabinet, 1997
BOTTOMLEY, Virginia (Mrs.)#包定禮夫人#Cabinet, 1992
BRADLEY, Karen#龐碧琳#Cabinet, 2016
BRADSHAW, Ben#白德生#Cabinet, 2009
BRAVERMAN, Suella#柏斐文#Cabinet, 2020
BROKENSHIRE, James#博敬誠#Cabinet, 2016
BROWN, Nick#白禮勤#Cabinet, 1997
BROWNE, Des#彭德#Cabinet, 2005
BUCKLAND, Robert#白樂彬#Cabinet, 2019
BURNHAM, Andy#貝安德#Cabinet, 2007
BYRNE, Liam#白理安#Cabinet, 2008
CABLE, Vince#祈維信#Cabinet, 2010
CAIRNS, Alun#祈啟思#Cabinet, 2016
CAMPBELL, Alan#簡柏邦#Cabinet, 2024
CHALK, Alexander#卓傲山#Cabinet, 2021
CHANNON, Paul#程隆#Cabinet, 1986
CHAPMAN, Jenny#卓珍妮#Cabinet, 2025
CLARK, Greg#祈國光#Cabinet, 2015
CLARKE, Charles#祈卓禮#Cabinet, 2001
CLARKE, Kenneth#祁淦禮#Cabinet, 1987
CLARKE, Simon#夏簡勤#Cabinet, 2021
CLEVERLY, James#祁湛明#Cabinet, 2019
COCKFIELD, Arthur#郭菲德#Cabinet, 1982
COFFEY, Thérèse#高翠玲#Cabinet, 2019
COOK, Robin#郭偉邦#Cabinet, 1997
COOPER, Yvette#顧綺慧#Cabinet, 2008
COUTINHO, Claire#郭嘉兒#Cabinet, 2023
