no.#title#directed_by#written_by#storyboarded_by#original_release_date#prod._code
1#"Legitimate Summer Camp"#Erica Jones & Steve Wolfhard#Ryan Gillis#Derek Evanick, Madeleine Flores, Diana Lafyatis & Sonja von Marensdorff#January 11, 2025#102
1#"Dog Eat Dog"#Ryan Gillis#Ryan Gillis#Nathan Bulmer, Ryan Gillis & Zach Marcus#January 1, 2025(sneak peek) January 11, 2025(official)#102
2#"The Nannytee"#Hannah Ayoubi#Liz Hara#Madeleine Flores & Sonja von Marensdorff#January 11, 2025#103
2#"Noodle It (A Little Bit)"#Hannah Ayoubi#Jon Millstein#Rose Feduk & Kaitlyn Graziano#January 11, 2025#103
3#"Diorama Drama"#Erica Jones#Jon Millstein#Rose Feduk & Kaitlyn Graziano#January 19, 2025#101
3#"Goat Racket"#Hannah Ayoubi#Amalia Levari#Nathan Bulmer & Ron Stanage#January 19, 2025#101
4#"Breakfast at Chippany's"#Erica Jones#Jon Millstein#Nathan Bulmer & Ron Stanage#January 19, 2025#104
4#"Birdyguard"#Steve Wolfhard#Janice Chun & Sunil Hall#Derek Evanick & Diana Lafyatis#January 19, 2025#104
5#"No Manhands Is an Island"#Steve Wolfhard#Ben Crouse#Thomas Herpich#January 26, 2025#105
5#"Sister Swim"#Hannah Ayoubi#Ben Crouse#Rose Feduk & Kaitlyn Graziano#January 26, 2025#105
6#"Moon Moon"#Hannah Ayoubi#Jon Millstein#Madeleine Flores & Sonja von Marensdorff#January 26, 2025#106
6#"Mailbog"#Erica Jones#Amalia Levari#Derek Evanick & Diana Lafyatis#January 26, 2025#106
7#"Finders Kelpers"#Hannah Ayoubi#Amalia Levari & Jessica Combs#Gina Gress#February 2, 2025#108
7#"Truck Everlasting"#Erica Jones#Ben Crouse#Rose Feduk & Kaitlyn Graziano#February 2, 2025#108
8#"Alpha Betta Chip"#Steve Wolfhard#Liz Hara#Derek Evanick & Diana Lafyatis#February 9, 2025#107
8#"The Bomb Swapper"#Hannah Ayoubi#Greg Miller#Nathan Bulmer & Ron Stanage#February 9, 2025#107
9#"The Wolf of Jealousy"#Hannah Ayoubi#Jon Millstein#Rose Feduk & Kaitlyn Graziano#February 16, 2025#109
9#"Stench Mensch"#Steve Wolfhard#Ryan Gillis & Amalia Levari#Nathan Bulmer & Ron Stanage#February 16, 2025#109
10#"Francis Wants to Be Alone"#Erica Jones#Jamie Loftus#Madeleine Flores & Sonja von Marensdorff#February 23, 2025#110
10#"The Sash"#Erica Jones#Ben Crouse & Amalia Levari#Derek Evanick & Diana Lafyatis#February 23, 2025#110
11#"Deep Trent"#Steve Wolfhard#Colleen Evanson & Sunil Hall#Madeleine Flores & Katie Aldworth#March 1, 2025#111
11#"Disaster Play"#Hannah Ayoubi#Liz Hara#Nathan Bulmer & Ron Stanage#March 1, 2025#111
12#"Shapesister"#Erica Jones#Jon Millstein#Rose Feduk & Kaitlyn Graziano#March 8, 2025#112
12#"Lullah's Game"#Steve Wolfhard#Liz Hara#Derek Evanick & Diana Lafyatis#March 8, 2025#112
13#"Night Mutants"#Hannah Ayoubi#Dominique Gélin#Madeleine Flores & Sonja von Marensdorff#March 15, 2025#113
