party.1#candidate#votes#%
Reform UK#Lyndsey Fox#1870.0#46.9
Reform UK#John Paul Kinvig#1713.0#42.9
Reform UK#Tom Redmond#1708.0#42.8
Labour#Kelly Joanne Guest#949.0#23.8
Labour#Tessa Fay Hope#945.0#23.7
Labour#Michael Thomas Siddle#934.0#23.4
Independent#Sam Zair#783.0#19.6
Independent#Mike Harker#422.0#10.6
Conservative#Luke Allan Holmes#413.0#10.4
Conservative#James Peter Middleton#392.0#9.8
Conservative#Adeline Tchana#246.0#6.2
Green#S J Hannahs#245.0#6.1
Independent#Joanne Marie Howey#233.0#5.8
Liberal Democrats#Christine Thelwell#164.0#4.1
Liberal Democrats#Arnold Simpson#152.0#3.8
Independent#John Dennis Brigstock#32.0#0.8
Majority#Majority#<NA>#<NA>
Turnout#Turnout#3989.0#32.6
