rank#name#city#height_in_m_(ft)#floors#year_built
1#Varso Tower#Warsaw#310 m (1,017 ft)#53#2022
2#Commerzbank Tower#Frankfurt#259 m (850 ft)#56#1997
3#Messeturm#Frankfurt#256.4 m (841 ft)#64#1990
4#Torre de Cristal#Madrid#249 m (817 ft)#52#2009
5#Torre Cepsa#Madrid#248.3 m (815 ft)#45#2008
6#Palace of Culture and Science#Warsaw#237 m (778 ft)#42#1955
7#Torre PwC#Madrid#236 m (774 ft)#52#2008
8#Unicredit Tower#Milan#231 m (758 ft)#35#2011
8#Tour First#Paris#231 m (758 ft)#52#2011
10#Torre Emperador#Madrid#224.2 m (736 ft)#57#2008
11#Warsaw Spire#Warsaw#220 m (722 ft)#49#2016
11#DC Towers#Vienna#220 m (722 ft)#60#2013
11#Tour Hekla#Paris#220 m (722 ft)#48#2022
14#De Zalmhaven#Rotterdam#215 m (705 ft)#58#2021
15#Sky Tower#Wrocław#212 m (696 ft)#50#2012
16#Allianz Tower#Milan#209 m (686 ft)#50#2014
17#Tour Montparnasse#Paris#209 m (686 ft)#59#1972
17#Piedmont Region Headquarters#Turin#209 m (686 ft)#42#2021
19#Westendstraße 1#Frankfurt#208 m (682 ft)#53#1993
19#Warsaw Trade Tower#Warsaw#208 m (682 ft)#43#1999
21#Millennium Tower#Vienna#202 m (663 ft)#50#1999
21#Warsaw Unit#Warsaw#200.7 m (658 ft)#46#2021
23#Main Tower#Frankfurt#200 m (656 ft)#55#1999
23#Tower 185#Frankfurt#200 m (656 ft)#55#2011
23#Tour Incity#Lyon#200 m (656 ft)#39#2015
26#Skyliner#Warsaw#195 m (640 ft)#45#2021
27#Tour Majunga#Paris#194 m (636 ft)#45#2014
28#Złota 44#Warsaw#192 m (630 ft)#54#2012
29#ONE#Frankfurt#191 m (627 ft)#49#2022
30#Turning Torso#Malmö#190 m (623 ft)#54#2005
31#Omniturm#Frankfurt#189.9 m (623 ft)#45#2019
32#Intempo#Benidorm#202.5 m (664 ft)#55#2021
33#Trianon#Frankfurt#186 m (610 ft)#45#1993
33#Gran Hotel Bali#Benidorm#186 m (610 ft)#52#2002
35#Tour GDF Suez#Paris#185 m (607 ft)#37#2008
35#European Central Bank Headquarters#Frankfurt#185 m (607 ft)#45#2014
37#Tour Granite#Paris#183 m (600 ft)#35#2008
38#Caleido Tower#Madrid#181 m (594 ft)#38#2020
39#Olivia Star#Gdańsk#180.6 m (593 ft)#47#2018
40#Sevilla Tower#Seville#180.5 m (592 ft)#40#2016
41#Grand Tower#Frankfurt#180 m (591 ft)#47#2019
42#Tours Duo 1#Paris#180 m (591 ft)#39#2021
43#Tour Total#Paris#179 m (587 ft)#48#1985
44#Tour Areva#Paris#178 m (584 ft)#44#1974
45#Tour Saint-Gobain#Paris#178 m (584 ft)#39#2019
46#Generali Tower#Milan#177.4 m (582 ft)#44#2017
47#Libeskind Tower#Milan#175.5 m (576 ft)#34#2021
48#Tour D2#Paris#171 m (561 ft)#37#2014
49#Opernturm#Frankfurt#170 m (558 ft)#42#2010
