pos._pos.#class_class#no._no.#team_team#drivers_drivers#car_engine#laps_laps#time/retired_time/retired
1#P#32#Team WRT#Augusto Farfus  Kelvin van der Linde  Sheldon van der Linde#BMW M4 GT3#306#12:01:53.135‡
1#P#32#Team WRT#Augusto Farfus  Kelvin van der Linde  Sheldon van der Linde#BMW S58B30T0 3.0 L Twin Turbo I6#306#12:01:53.135‡
2#P#46#Team WRT#Raffaele Marciello  Valentino Rossi  Charles Weerts#BMW M4 GT3#306#+10.244
2#P#46#Team WRT#Raffaele Marciello  Valentino Rossi  Charles Weerts#BMW S58B30T0 3.0 L Twin Turbo I6#306#+10.244
3#P#75#75 Express#Jules Gounon  Kenny Habul  Luca Stolz#Mercedes-AMG GT3 Evo#306#+11.363
3#P#75#75 Express#Jules Gounon  Kenny Habul  Luca Stolz#Mercedes-AMG M159 6.2 L V8#306#+11.363
4#P#26#Arise Racing GT#Will Brown  Chaz Mostert  Daniel Serra#Ferrari 296 GT3#306#+1:03.962
4#P#26#Arise Racing GT#Will Brown  Chaz Mostert  Daniel Serra#Ferrari F163 3.0 L Turbo V6#306#+1:03.962
5#P#77#Mercedes-AMG Team Craft-Bamboo Racing#Lucas Auer  Maximilian Götz  Jayden Ojeda#Mercedes-AMG GT3 Evo#306#+1:27.904
5#P#77#Mercedes-AMG Team Craft-Bamboo Racing#Lucas Auer  Maximilian Götz  Jayden Ojeda#Mercedes-AMG M159 6.2 L V8#306#+1:27.904
6#P#911#Absolute Racing#Matt Campbell  Ayhancan Güven  Alessio Picariello#Porsche 911 GT3 R (992)#306#+1:42.068
6#P#911#Absolute Racing#Matt Campbell  Ayhancan Güven  Alessio Picariello#Porsche M97/80 4.2 L Flat-6#306#+1:42.068
7#B#27#Heart of Racing by SPS#Ross Gunn  Ian James  Zacharie Robichon#Mercedes-AMG GT3 Evo#305#+1 Lap‡
7#B#27#Heart of Racing by SPS#Ross Gunn  Ian James  Zacharie Robichon#Mercedes-AMG M159 6.2 L V8#305#+1 Lap‡
8#PA#36#Arise Racing GT#Jaxon Evans  Alessio Rovera  Brad Schumacher  Elliot Schutte#Ferrari 296 GT3#303#+3 Laps‡
8#PA#36#Arise Racing GT#Jaxon Evans  Alessio Rovera  Brad Schumacher  Elliot Schutte#Ferrari F163 3.0 L Turbo V6#303#+3 Laps‡
9#S#93#Wall Racing#Tony D'Alberto  Adrian Deitz  Grant Denyer  Brendon Leitch#Lamborghini Huracán GT3 Evo 2#303#+3 Laps‡
9#S#93#Wall Racing#Tony D'Alberto  Adrian Deitz  Grant Denyer  Brendon Leitch#Lamborghini DGF 5.2 L V10#303#+3 Laps‡
10#PA#91#The Bend Manthey EMA#Laurin Heinrich  Morris Schuring  Sam Shahin  Yasser Shahin#Porsche 911 GT3 R (992)#303#+3 Laps
10#PA#91#The Bend Manthey EMA#Laurin Heinrich  Morris Schuring  Sam Shahin  Yasser Shahin#Porsche M97/80 4.2 L Flat-6#303#+3 Laps
11#B#9#Hallmarc Racing#Marc Cini  Dean Fiore  Lee Holdsworth#Audi R8 LMS Evo II#291#+15 Laps
11#B#9#Hallmarc Racing#Marc Cini  Dean Fiore  Lee Holdsworth#Audi DAR 5.2 L V10#291#+15 Laps
12#S#47#Supabarn Tigani Motorsport#James Koundouris  Theo Koundouris  David Russell  Luke Youlden#Mercedes-AMG GT3 Evo#283#+23 Laps
