event#gold#silver#bronze
57 kg details#Han Chong-song  North Korea#Milad Valizadeh  Iran#Rakhat Kalzhan  Kazakhstan
57 kg details#Han Chong-song  North Korea#Milad Valizadeh  Iran#Batkhuyagiin Mönkh-Erdene  Mongolia
61 kg details#Takara Suda  Japan#Udit Kumar  India#Ahmad Javan  Iran
61 kg details#Takara Suda  Japan#Udit Kumar  India#Zou Wanhao  China
65 kg details#Kaisei Tanabe  Japan#Tseveensürengiin Tsogbadrakh  Mongolia#Kim Kwang-jin  North Korea
65 kg details#Kaisei Tanabe  Japan#Tseveensürengiin Tsogbadrakh  Mongolia#Abbas Ebrahimzadeh  Iran
70 kg details#Ernazar Akmataliev  Kyrgyzstan#Viktor Rassadin  Tajikistan#Yoshinosuke Aoyagi  Japan
70 kg details#Ernazar Akmataliev  Kyrgyzstan#Viktor Rassadin  Tajikistan#Sina Khalili  Iran
74 kg details#Nurkozha Kaipanov  Kazakhstan#Orozobek Toktomambetov  Kyrgyzstan#Aheiyou Tuerxun  China
74 kg details#Nurkozha Kaipanov  Kazakhstan#Orozobek Toktomambetov  Kyrgyzstan#Magomedrasul Asluev  Bahrain
79 kg details#Mehdi Yousefi  Iran#Khidir Saipudinov  Bahrain#Olonbayaryn Süldkhüü  Mongolia
79 kg details#Mehdi Yousefi  Iran#Khidir Saipudinov  Bahrain#Magomet Evloev  Tajikistan
86 kg details#Abolfazl Rahmani  Iran#Bolat Sakayev  Kazakhstan#Naadambatyn Batbilgüün  Mongolia
86 kg details#Abolfazl Rahmani  Iran#Bolat Sakayev  Kazakhstan#Tatsuya Shirai  Japan
92 kg details#Amir Hossein Firouzpour  Iran#Deepak Punia  India#Azamat Dauletbekov  Kazakhstan
92 kg details#Amir Hossein Firouzpour  Iran#Deepak Punia  India#Takashi Ishiguro  Japan
97 kg details#Arash Yoshida  Japan#Rizabek Aitmukhan  Kazakhstan#Mohammad Mobin Azimi  Iran
97 kg details#Arash Yoshida  Japan#Rizabek Aitmukhan  Kazakhstan#Habila Awusayiman  China
125 kg details#Amir Reza Masoumi  Iran#Mönkhtöriin Lkhagvagerel  Mongolia#Dinesh Goliya  India
125 kg details#Amir Reza Masoumi  Iran#Mönkhtöriin Lkhagvagerel  Mongolia#Shamil Sharipov  Bahrain
